,Time,LinearV,AngularV
0,0.0,0.0,0.0
1,335626000000,0.0,0.0
2,335661000000,0.0,0.0
3,335695000000,0.0,0.0
4,335742000000,0.0,0.0
5,335777000000,0.0,0.0
6,335816000000,0.0,0.0
7,335853000000,0.0,0.0
8,335891000000,0.0,0.0
9,335933000000,0.0,0.0
10,335973000000,0.0,0.0
11,336011000000,0.0,0.0
12,336050000000,0.0,0.0
13,336090000000,0.0,0.0
14,336132000000,0.0,0.0
15,336172000000,0.0,0.0
16,336208000000,0.0,0.0
17,336245000000,0.005,0.0
18,336280000000,0.005,0.0
19,336316000000,0.005,0.0
20,336359000000,0.01,0.0
21,336396000000,0.01,0.0
22,336437000000,0.01,0.0
23,336477000000,0.01,0.0
24,336517000000,0.01,0.0
25,336555000000,0.01,0.0
26,336596000000,0.01,0.0
27,336637000000,0.01,0.0
28,336676000000,0.01,0.0
29,336721000000,0.01,0.0
30,336765000000,0.02,0.0
31,336805000000,0.025,0.0
32,336842000000,0.03,0.0
33,336876000000,0.04,0.0
34,336914000000,0.045,0.0
35,336957000000,0.05,0.0
36,336995000000,0.055,0.0
37,337030000000,0.06,0.0
38,337066000000,0.065,0.0
39,337103000000,0.07,0.0
40,337140000000,0.08,0.0
41,337182000000,0.085,0.0
42,337220000000,0.09,0.0
43,337259000000,0.1,0.0
44,337296000000,0.105,0.0
45,337332000000,0.11,0.0
46,337366000000,0.115,0.0
47,337408000000,0.125,0.0
48,337444000000,0.13,0.0
49,337488000000,0.135,0.0
50,337523000000,0.14,0.0
51,337563000000,0.15,0.0
52,337603000000,0.155,0.0
53,337641000000,0.16,0.0
54,337684000000,0.165,0.0
55,337719000000,0.17,0.0
56,337765000000,0.18,0.0
57,337802000000,0.185,0.0
58,337836000000,0.19,0.0
59,337878000000,0.195,0.0
60,337916000000,0.205,0.0
61,337954000000,0.21,0.0
62,337994000000,0.215,0.0
63,338035000000,0.22,0.0
64,338076000000,0.22,0.0
65,338116000000,0.22,0.0
66,338153000000,0.22,0.0
67,338199000000,0.22,0.0
68,338240000000,0.22,0.0
69,338276000000,0.22,0.0
70,338318000000,0.22,0.0
71,338357000000,0.22,0.0
72,338399000000,0.22,0.0
73,338438000000,0.22,0.0
74,338472000000,0.22,0.0
75,338517000000,0.22,0.0
76,338553000000,0.22,0.0
77,338592000000,0.22,0.0
78,338634000000,0.22,0.0
79,338669000000,0.22,0.0
80,338705000000,0.22,0.0
81,338744000000,0.22,0.0
82,338778000000,0.22,0.0
83,338819000000,0.22,0.0
84,338855000000,0.22,0.0
85,338900000000,0.22,0.0
86,338943000000,0.22,0.0
87,338981000000,0.22,0.0
88,339017000000,0.22,0.0
89,339056000000,0.22,0.0
90,339102000000,0.22,0.0
91,339141000000,0.22,0.0
92,339182000000,0.22,0.0
93,339217000000,0.22,0.0
94,339262000000,0.22,0.0
95,339304000000,0.22,0.0
96,339339000000,0.22,0.0
97,339382000000,0.22,0.0
98,339418000000,0.22,0.0
99,339460000000,0.22,0.0
100,339499000000,0.22,0.0
101,339538000000,0.22,0.0
102,339577000000,0.22,0.0
103,339613000000,0.22,0.0
104,339649000000,0.22,0.0
105,339683000000,0.22,0.0
106,339721000000,0.22,0.0
107,339757000000,0.22,0.0
108,339797000000,0.22,0.0
109,339837000000,0.22,0.0
110,339875000000,0.22,0.0
111,339914000000,0.22,0.0
112,339949000000,0.22,0.0
113,339984000000,0.22,0.0
114,340025000000,0.22,0.0
115,340060000000,0.22,0.0
116,340102000000,0.22,0.0
117,340141000000,0.22,0.0
118,340179000000,0.22,0.0
119,340224000000,0.22,0.0
120,340263000000,0.22,0.0
121,340297000000,0.22,0.0
122,340336000000,0.22,0.0
123,340380000000,0.22,0.0
124,340421000000,0.22,0.0
125,340459000000,0.22,0.0
126,340500000000,0.22,0.0
