,Time,LinearV,AngularV
0,0.0,0.0,0.0
1,10815873000000,0.22,0.0
2,10815910000000,0.22,0.0
3,10815982000000,0.22,0.0
4,10816018000000,0.22,0.0
5,10816052000000,0.22,0.0
6,10816086000000,0.22,0.0
7,10816122000000,0.22,0.0
8,10816163000000,0.22,0.0
9,10816199000000,0.22,0.0
10,10816236000000,0.22,0.0
11,10816274000000,0.22,0.0
12,10816308000000,0.22,0.0
13,10816351000000,0.22,0.0
14,10816388000000,0.22,0.0
15,10816424000000,0.22,0.0
16,10816463000000,0.22,0.0
17,10816503000000,0.22,0.0
18,10816546000000,0.22,0.0
19,10816584000000,0.22,0.0
20,10816620000000,0.22,0.0
21,10816659000000,0.22,0.0
22,10816700000000,0.22,0.0
23,10816737000000,0.22,0.0
24,10816780000000,0.22,0.0
25,10816820000000,0.22,0.0
26,10816858000000,0.22,0.0
27,10816894000000,0.22,0.0
28,10816932000000,0.22,0.0
29,10816970000000,0.22,0.0
30,10817009000000,0.22,0.05
31,10817050000000,0.22,0.05
32,10817085000000,0.22,0.05
33,10817121000000,0.22,0.1
34,10817158000000,0.22,0.1
35,10817203000000,0.22,0.1
36,10817237000000,0.22,0.1
37,10817277000000,0.22,0.1
38,10817316000000,0.22,0.1
39,10817357000000,0.22,0.1
40,10817396000000,0.22,0.1
41,10817439000000,0.22,0.1
42,10817482000000,0.22,0.1
43,10817519000000,0.22,0.1
44,10817561000000,0.22,0.15
45,10817602000000,0.22,0.15
46,10817647000000,0.22,0.2
47,10817688000000,0.22,0.2
48,10817725000000,0.22,0.2
49,10817767000000,0.22,0.25
50,10817807000000,0.22,0.25
51,10817845000000,0.22,0.25
52,10817888000000,0.22,0.3
53,10817925000000,0.22,0.3
54,10817967000000,0.22,0.3
55,10818006000000,0.22,0.3
56,10818040000000,0.22,0.3
57,10818086000000,0.22,0.3
58,10818128000000,0.22,0.3
59,10818168000000,0.22,0.3
60,10818204000000,0.22,0.3
61,10818246000000,0.22,0.3
62,10818284000000,0.22,0.3
63,10818332000000,0.22,0.3
64,10818368000000,0.22,0.3
65,10818408000000,0.22,0.3
66,10818452000000,0.22,0.3
67,10818488000000,0.22,0.3
68,10818531000000,0.22,0.25
69,10818570000000,0.22,0.25
70,10818612000000,0.22,0.2
71,10818655000000,0.22,0.2
72,10818691000000,0.22,0.15
73,10818731000000,0.22,0.15
74,10818774000000,0.22,0.15
75,10818821000000,0.22,0.1
76,10818862000000,0.22,0.05
77,10818905000000,0.22,0.05
78,10818943000000,0.22,0.0
79,10818978000000,0.22,0.0
80,10819012000000,0.22,0.0
81,10819050000000,0.22,0.0
82,10819094000000,0.22,0.0
83,10819138000000,0.22,0.0
84,10819176000000,0.22,0.0
85,10819213000000,0.22,0.0
86,10819249000000,0.22,0.0
87,10819287000000,0.22,0.0
88,10819330000000,0.22,0.0
89,10819364000000,0.22,0.0
90,10819408000000,0.22,0.0
91,10819447000000,0.22,0.0
92,10819493000000,0.22,0.0
93,10819534000000,0.22,0.0
94,10819575000000,0.22,0.0
95,10819614000000,0.22,0.0
96,10819655000000,0.22,0.0
97,10819696000000,0.22,0.0
98,10819735000000,0.22,0.0
99,10819769000000,0.22,0.0
100,10819806000000,0.22,0.0
101,10819840000000,0.22,0.0
102,10819879000000,0.22,0.0
103,10819919000000,0.22,0.0
104,10819956000000,0.22,0.0
105,10819992000000,0.22,0.0
106,10820026000000,0.22,0.0
107,10820065000000,0.22,0.0
108,10820099000000,0.22,0.0
109,10820142000000,0.22,0.0
110,10820178000000,0.22,0.0
111,10820218000000,0.22,0.0
112,10820255000000,0.22,0.0
113,10820291000000,0.22,0.0
114,10820335000000,0.22,0.0
115,10820370000000,0.22,0.0
116,10820406000000,0.22,0.0
117,10820447000000,0.22,0.0
118,10820485000000,0.22,0.0
119,10820519000000,0.22,0.0
120,10820558000000,0.22,0.0
121,10820598000000,0.22,0.0
122,10820639000000,0.22,0.0
123,10820674000000,0.22,0.0
124,10820719000000,0.22,0.0
125,10820760000000,0.22,0.0
126,10820800000000,0.22,0.0
127,10820834000000,0.22,0.0
128,10820874000000,0.22,0.0
129,10820921000000,0.22,0.0
130,10820961000000,0.22,0.0
131,10821003000000,0.22,0.0
132,10821039000000,0.22,0.0
133,10821073000000,0.22,0.0
134,10821113000000,0.22,0.0
135,10821153000000,0.22,0.0
136,10821191000000,0.22,0.0
137,10821229000000,0.22,0.0
138,10821272000000,0.22,0.0
139,10821311000000,0.22,0.0
140,10821350000000,0.22,0.0
141,10821389000000,0.22,0.0
142,10821428000000,0.22,0.0
143,10821464000000,0.22,0.0
144,10821505000000,0.22,0.0
145,10821543000000,0.22,0.0
146,10821588000000,0.22,0.0
147,10821627000000,0.22,0.0
148,10821673000000,0.22,0.0
149,10821708000000,0.22,0.0
150,10821744000000,0.22,0.0
151,10821786000000,0.22,0.0
152,10821825000000,0.22,0.0
153,10821870000000,0.22,0.05
154,10821913000000,0.22,0.05
155,10821948000000,0.22,0.05
156,10821988000000,0.22,0.1
157,10822022000000,0.22,0.1
158,10822068000000,0.22,0.1
159,10822102000000,0.22,0.1
160,10822145000000,0.22,0.1
161,10822190000000,0.22,0.15
162,10822225000000,0.22,0.15
163,10822262000000,0.22,0.15
164,10822303000000,0.22,0.2
165,10822340000000,0.22,0.2
166,10822379000000,0.22,0.2
167,10822423000000,0.22,0.25
168,10822465000000,0.22,0.25
169,10822499000000,0.22,0.3
170,10822544000000,0.22,0.3
171,10822612000000,0.22,0.3
172,10822656000000,0.22,0.3
173,10822690000000,0.22,0.3
174,10822733000000,0.22,0.3
175,10822776000000,0.22,0.3
176,10822814000000,0.22,0.3
177,10822851000000,0.22,0.3
178,10822891000000,0.22,0.3
179,10822929000000,0.22,0.3
180,10822964000000,0.22,0.3
181,10823006000000,0.22,0.3
182,10823048000000,0.22,0.3
183,10823089000000,0.22,0.3
184,10823140000000,0.22,0.3
185,10823181000000,0.22,0.3
186,10823216000000,0.22,0.3
187,10823257000000,0.22,0.3
188,10823297000000,0.22,0.3
189,10823334000000,0.22,0.3
190,10823376000000,0.22,0.3
191,10823416000000,0.22,0.3
192,10823453000000,0.22,0.3
193,10823496000000,0.22,0.3
194,10823533000000,0.22,0.3
195,10823576000000,0.22,0.3
196,10823626000000,0.22,0.3
197,10823661000000,0.22,0.3
198,10823703000000,0.22,0.3
199,10823748000000,0.22,0.3
200,10823784000000,0.22,0.3
201,10823832000000,0.22,0.3
202,10823873000000,0.22,0.3
203,10823909000000,0.22,0.35
204,10823947000000,0.22,0.35
205,10823988000000,0.22,0.4
206,10824025000000,0.22,0.4
207,10824061000000,0.22,0.4
208,10824104000000,0.22,0.4
209,10824142000000,0.22,0.4
210,10824181000000,0.22,0.4
211,10824225000000,0.22,0.4
212,10824261000000,0.22,0.4
213,10824300000000,0.22,0.4
214,10824341000000,0.22,0.4
215,10824375000000,0.22,0.4
216,10824423000000,0.22,0.4
217,10824461000000,0.22,0.4
218,10824497000000,0.22,0.4
219,10824536000000,0.22,0.4
220,10824574000000,0.22,0.4
221,10824615000000,0.22,0.4
222,10824657000000,0.22,0.35
223,10824702000000,0.22,0.35
224,10824740000000,0.22,0.35
225,10824774000000,0.22,0.3
226,10824815000000,0.22,0.3
227,10824849000000,0.22,0.3
228,10824884000000,0.22,0.3
229,10824928000000,0.22,0.3
230,10824962000000,0.22,0.3
231,10824999000000,0.22,0.3
232,10825044000000,0.22,0.3
233,10825078000000,0.22,0.25
234,10825118000000,0.22,0.25
235,10825155000000,0.22,0.25
236,10825199000000,0.22,0.2
237,10825245000000,0.22,0.2
238,10825282000000,0.22,0.2
239,10825325000000,0.22,0.2
240,10825368000000,0.22,0.15
241,10825402000000,0.22,0.15
242,10825440000000,0.22,0.15
243,10825476000000,0.22,0.1
244,10825521000000,0.22,0.1
245,10825563000000,0.22,0.1
246,10825597000000,0.22,0.1
247,10825632000000,0.22,0.1
248,10825667000000,0.22,0.1
249,10825709000000,0.22,0.1
250,10825743000000,0.22,0.1
251,10825786000000,0.22,0.1
252,10825830000000,0.22,0.1
253,10825870000000,0.22,0.1
254,10825906000000,0.22,0.1
255,10825942000000,0.22,0.1
256,10825984000000,0.22,0.1
257,10826029000000,0.22,0.1
258,10826064000000,0.22,0.1
259,10826099000000,0.22,0.1
260,10826140000000,0.22,0.1
261,10826181000000,0.22,0.1
262,10826218000000,0.22,0.1
263,10826258000000,0.22,0.1
264,10826305000000,0.22,0.1
265,10826342000000,0.22,0.1
266,10826385000000,0.22,0.1
267,10826425000000,0.22,0.1
268,10826467000000,0.22,0.1
269,10826507000000,0.22,0.1
270,10826547000000,0.22,0.1
271,10826590000000,0.22,0.1
272,10826624000000,0.22,0.1
273,10826660000000,0.22,0.1
274,10826698000000,0.22,0.1
275,10826737000000,0.22,0.1
276,10826777000000,0.22,0.1
277,10826811000000,0.22,0.1
278,10826850000000,0.22,0.1
279,10826890000000,0.22,0.1
280,10826931000000,0.22,0.1
281,10826968000000,0.22,0.1
282,10827003000000,0.22,0.1
283,10827040000000,0.22,0.1
284,10827081000000,0.22,0.1
285,10827123000000,0.22,0.1
286,10827166000000,0.22,0.1
287,10827208000000,0.22,0.1
288,10827246000000,0.22,0.1
289,10827286000000,0.22,0.1
290,10827323000000,0.22,0.1
291,10827368000000,0.22,0.1
292,10827409000000,0.22,0.1
293,10827447000000,0.22,0.1
294,10827486000000,0.22,0.1
295,10827522000000,0.22,0.1
296,10827560000000,0.22,0.1
297,10827595000000,0.22,0.1
298,10827634000000,0.22,0.1
299,10827674000000,0.22,0.1
300,10827716000000,0.22,0.1
301,10827750000000,0.22,0.1
302,10827793000000,0.22,0.1
303,10827832000000,0.22,0.1
304,10827879000000,0.22,0.1
305,10827919000000,0.22,0.1
306,10827959000000,0.22,0.1
307,10827997000000,0.22,0.1
308,10828039000000,0.22,0.1
309,10828083000000,0.22,0.1
310,10828127000000,0.22,0.1
311,10828167000000,0.22,0.1
312,10828208000000,0.22,0.1
313,10828252000000,0.22,0.1
314,10828294000000,0.22,0.1
315,10828328000000,0.22,0.1
316,10828370000000,0.22,0.1
317,10828412000000,0.22,0.1
318,10828456000000,0.22,0.1
319,10828502000000,0.22,0.1
320,10828542000000,0.22,0.1
321,10828589000000,0.22,0.1
322,10828627000000,0.22,0.1
323,10828662000000,0.22,0.1
324,10828700000000,0.22,0.1
325,10828743000000,0.22,0.1
326,10828780000000,0.22,0.1
327,10828826000000,0.22,0.1
328,10828861000000,0.22,0.1
329,10828901000000,0.22,0.1
330,10828945000000,0.22,0.1
331,10828983000000,0.22,0.1
332,10829018000000,0.22,0.1
333,10829052000000,0.22,0.1
334,10829087000000,0.22,0.1
335,10829130000000,0.22,0.1
336,10829177000000,0.22,0.1
337,10829213000000,0.22,0.1
338,10829253000000,0.22,0.1
339,10829291000000,0.22,0.1
340,10829326000000,0.22,0.1
341,10829368000000,0.22,0.1
342,10829405000000,0.22,0.1
343,10829449000000,0.22,0.1
344,10829487000000,0.22,0.1
345,10829528000000,0.22,0.1
346,10829568000000,0.22,0.1
347,10829605000000,0.22,0.1
348,10829639000000,0.22,0.1
349,10829683000000,0.22,0.1
350,10829718000000,0.22,0.1
351,10829763000000,0.22,0.1
352,10829803000000,0.22,0.1
353,10829848000000,0.22,0.1
354,10829894000000,0.22,0.1
355,10829933000000,0.22,0.1
356,10829968000000,0.22,0.1
357,10830007000000,0.22,0.1
358,10830048000000,0.22,0.1
359,10830088000000,0.22,0.1
360,10830131000000,0.22,0.1
361,10830168000000,0.22,0.1
362,10830214000000,0.22,0.1
363,10830261000000,0.22,0.1
364,10830301000000,0.22,0.1
365,10830337000000,0.22,0.1
366,10830386000000,0.22,0.1
367,10830422000000,0.22,0.1
368,10830461000000,0.22,0.1
369,10830502000000,0.22,0.1
370,10830537000000,0.22,0.1
371,10830582000000,0.22,0.1
372,10830626000000,0.22,0.1
373,10830667000000,0.22,0.1
374,10830701000000,0.22,0.1
375,10830747000000,0.22,0.1
376,10830782000000,0.22,0.1
377,10830820000000,0.22,0.1
378,10830868000000,0.22,0.1
379,10830904000000,0.22,0.1
380,10830940000000,0.22,0.1
381,10830989000000,0.22,0.1
382,10831025000000,0.22,0.1
383,10831060000000,0.22,0.1
384,10831104000000,0.22,0.1
385,10831139000000,0.22,0.1
386,10831180000000,0.22,0.1
387,10831226000000,0.22,0.1
388,10831260000000,0.22,0.1
389,10831305000000,0.22,0.1
390,10831344000000,0.22,0.1
391,10831380000000,0.22,0.1
392,10831415000000,0.22,0.1
393,10831453000000,0.22,0.1
394,10831491000000,0.22,0.1
395,10831527000000,0.22,0.1
396,10831566000000,0.22,0.1
397,10831609000000,0.22,0.1
398,10831649000000,0.22,0.1
399,10831695000000,0.22,0.1
400,10831729000000,0.22,0.1
401,10831763000000,0.22,0.1
402,10831804000000,0.22,0.1
403,10831843000000,0.22,0.1
404,10831878000000,0.22,0.1
405,10831915000000,0.22,0.1
406,10831958000000,0.22,0.1
407,10832003000000,0.22,0.1
408,10832038000000,0.22,0.1
409,10832079000000,0.22,0.1
410,10832113000000,0.22,0.1
411,10832154000000,0.22,0.1
412,10832192000000,0.22,0.1
413,10832236000000,0.22,0.1
414,10832270000000,0.22,0.1
415,10832313000000,0.22,0.1
416,10832351000000,0.22,0.1
417,10832390000000,0.22,0.1
418,10832431000000,0.22,0.1
419,10832468000000,0.22,0.1
420,10832515000000,0.22,0.1
421,10832550000000,0.22,0.1
422,10832585000000,0.22,0.1
423,10832631000000,0.22,0.1
424,10832670000000,0.22,0.1
425,10832707000000,0.22,0.1
426,10832743000000,0.22,0.1
427,10832779000000,0.22,0.1
428,10832816000000,0.22,0.1
429,10832859000000,0.22,0.1
430,10832897000000,0.22,0.1
431,10832933000000,0.22,0.1
432,10832968000000,0.22,0.1
433,10833011000000,0.22,0.1
434,10833050000000,0.22,0.1
435,10833091000000,0.22,0.1
436,10833125000000,0.22,0.1
437,10833162000000,0.22,0.1
438,10833208000000,0.22,0.1
439,10833242000000,0.22,0.1
440,10833276000000,0.22,0.1
441,10833314000000,0.22,0.1
442,10833349000000,0.22,0.1
443,10833383000000,0.22,0.1
444,10833430000000,0.22,0.1
445,10833477000000,0.22,0.1
446,10833511000000,0.22,0.1
447,10833554000000,0.22,0.1
448,10833601000000,0.22,0.1
449,10833643000000,0.22,0.1
450,10833681000000,0.22,0.05
451,10833719000000,0.22,0.05
452,10833754000000,0.22,0.05
453,10833800000000,0.22,0.0
454,10833839000000,0.22,0.0
455,10833881000000,0.22,0.0
456,10833919000000,0.22,0.0
457,10833955000000,0.22,0.0
458,10833996000000,0.22,0.0
459,10834034000000,0.22,0.0
460,10834076000000,0.22,0.0
461,10834112000000,0.22,0.0
462,10834163000000,0.22,0.0
463,10834199000000,0.22,0.0
464,10834247000000,0.22,0.0
465,10834288000000,0.22,0.0
466,10834327000000,0.22,0.0
467,10834371000000,0.22,0.0
468,10834415000000,0.22,0.0
469,10834450000000,0.22,0.0
470,10834490000000,0.22,0.0
471,10834526000000,0.22,0.0
472,10834564000000,0.22,0.0
473,10834599000000,0.22,0.0
474,10834642000000,0.22,0.0
475,10834683000000,0.22,0.0
