,Time,LinearV,AngularV
0,0.0,0.0,0.0
1,807193000000,0.01,0.0
2,807230000000,0.01,0.0
3,807268000000,0.01,0.0
4,807302000000,0.01,0.0
5,807339000000,0.01,0.0
6,807373000000,0.01,0.0
7,807408000000,0.01,0.0
8,807450000000,0.01,0.0
9,807488000000,0.01,0.0
10,807525000000,0.01,0.0
11,807566000000,0.015,0.0
12,807606000000,0.025,0.0
13,807643000000,0.03,0.0
14,807686000000,0.035,0.0
15,807729000000,0.045,0.0
16,807764000000,0.05,0.0
17,807804000000,0.055,0.0
18,807843000000,0.065,0.0
19,807883000000,0.07,0.0
20,807926000000,0.075,0.0
21,807967000000,0.08,0.0
22,808010000000,0.085,0.0
23,808050000000,0.095,0.0
24,808093000000,0.1,0.0
25,808137000000,0.105,0.0
26,808175000000,0.11,0.0
27,808218000000,0.115,0.0
28,808260000000,0.125,0.0
29,808294000000,0.13,0.0
30,808338000000,0.135,0.0
31,808372000000,0.14,0.0
32,808412000000,0.14,0.0
33,808447000000,0.15,0.0
34,808487000000,0.155,0.0
35,808532000000,0.165,0.0
36,808572000000,0.17,0.0
37,808611000000,0.175,0.0
38,808653000000,0.175,0.0
39,808695000000,0.18,0.0
40,808737000000,0.18,0.0
41,808776000000,0.18,0.0
42,808815000000,0.185,0.0
43,808853000000,0.185,0.0
44,808896000000,0.19,0.0
45,808933000000,0.19,0.0
46,808969000000,0.19,0.0
47,809012000000,0.195,0.0
48,809052000000,0.195,0.0
49,809086000000,0.195,0.0
50,809127000000,0.2,0.0
51,809163000000,0.2,0.0
52,809204000000,0.205,0.0
53,809238000000,0.205,0.0
54,809282000000,0.205,0.0
55,809321000000,0.21,0.0
56,809362000000,0.21,0.0
57,809397000000,0.21,0.0
58,809434000000,0.215,0.0
59,809468000000,0.215,0.0
60,809502000000,0.22,0.0
61,809538000000,0.22,0.0
62,809576000000,0.22,0.0
63,809610000000,0.22,0.0
64,809652000000,0.22,0.0
65,809693000000,0.22,0.0
66,809727000000,0.22,0.0
67,809764000000,0.22,0.0
68,809802000000,0.22,0.0
69,809843000000,0.22,0.0
70,809877000000,0.22,0.0
71,809911000000,0.22,0.0
72,809952000000,0.22,0.0
73,809992000000,0.22,0.0
74,810027000000,0.22,0.0
75,810071000000,0.22,0.0
76,810114000000,0.22,0.0
77,810151000000,0.22,0.0
78,810191000000,0.22,0.0
79,810233000000,0.22,0.0
80,810278000000,0.22,0.0
81,810314000000,0.22,0.0
82,810359000000,0.22,0.0
83,810397000000,0.22,0.0
84,810431000000,0.22,0.0
85,810474000000,0.22,0.0
86,810515000000,0.22,0.0
87,810552000000,0.22,0.0
88,810593000000,0.22,0.0
89,810630000000,0.22,0.0
90,810671000000,0.22,0.0
91,810715000000,0.22,0.0
92,810761000000,0.22,0.0
93,810799000000,0.22,0.0
94,810844000000,0.22,0.0
95,810888000000,0.22,0.0
96,810928000000,0.22,0.0
97,810964000000,0.22,0.0
98,810999000000,0.22,0.0
99,811035000000,0.22,0.0
100,811072000000,0.22,0.0
101,811116000000,0.22,0.0
102,811156000000,0.22,0.0
103,811199000000,0.22,0.0
104,811233000000,0.22,0.0
105,811267000000,0.22,0.0
106,811302000000,0.22,0.0
107,811336000000,0.22,0.0
108,811373000000,0.22,0.0
109,811410000000,0.215,0.0
110,811450000000,0.215,0.0
111,811493000000,0.21,0.0
112,811531000000,0.21,0.0
113,811568000000,0.21,0.0
114,811606000000,0.21,0.0
115,811643000000,0.21,0.0
116,811685000000,0.21,0.0
117,811719000000,0.21,0.0
118,811760000000,0.21,0.0
119,811798000000,0.21,0.0
120,811843000000,0.205,0.0
121,811887000000,0.205,0.0
122,811927000000,0.2,0.0
123,811963000000,0.2,0.0
124,812003000000,0.2,0.0
125,812040000000,0.2,0.0
126,812079000000,0.2,0.0
127,812116000000,0.195,0.0
128,812160000000,0.195,0.0
129,812197000000,0.195,0.0
130,812233000000,0.19,0.0
131,812270000000,0.19,0.0
132,812306000000,0.19,0.0
133,812341000000,0.19,0.0
134,812381000000,0.19,0.0
135,812423000000,0.19,0.0
136,812467000000,0.19,0.0
137,812505000000,0.19,0.0
138,812539000000,0.19,0.0
139,812573000000,0.19,0.0
140,812615000000,0.19,0.0
141,812657000000,0.19,0.0
142,812698000000,0.19,0.05
143,812740000000,0.19,0.05
144,812778000000,0.19,0.05
145,812816000000,0.19,0.1
146,812856000000,0.19,0.1
147,812895000000,0.19,0.1
148,812929000000,0.19,0.1
149,812967000000,0.19,0.1
150,813005000000,0.19,0.1
151,813047000000,0.19,0.1
152,813083000000,0.19,0.1
153,813126000000,0.19,0.1
154,813160000000,0.19,0.1
155,813199000000,0.19,0.1
156,813236000000,0.19,0.1
157,813276000000,0.19,0.1
158,813314000000,0.19,0.1
159,813355000000,0.19,0.1
160,813389000000,0.19,0.1
161,813423000000,0.19,0.1
162,813466000000,0.19,0.1
163,813509000000,0.19,0.1
164,813545000000,0.19,0.1
165,813581000000,0.19,0.1
166,813621000000,0.19,0.1
167,813665000000,0.19,0.1
168,813700000000,0.19,0.1
169,813734000000,0.19,0.1
170,813769000000,0.19,0.1
171,813804000000,0.19,0.1
172,813839000000,0.19,0.1
173,813882000000,0.19,0.1
174,813921000000,0.19,0.1
175,813955000000,0.19,0.1
176,813991000000,0.19,0.1
177,814027000000,0.19,0.1
178,814068000000,0.19,0.1
179,814111000000,0.19,0.1
180,814145000000,0.19,0.1
181,814179000000,0.19,0.1
182,814215000000,0.19,0.1
183,814254000000,0.19,0.05
184,814294000000,0.19,0.05
185,814328000000,0.19,0.05
186,814368000000,0.19,0.0
187,814407000000,0.19,0.0
188,814450000000,0.19,0.0
189,814494000000,0.19,0.0
190,814536000000,0.19,0.0
191,814572000000,0.19,0.0
192,814617000000,0.19,0.0
193,814663000000,0.19,0.0
194,814704000000,0.19,0.0
195,814739000000,0.19,0.0
196,814779000000,0.19,0.0
197,814819000000,0.19,0.0
198,814853000000,0.19,0.0
199,814887000000,0.19,0.0
200,814922000000,0.19,0.0
201,814967000000,0.19,0.0
202,815002000000,0.19,0.0
203,815041000000,0.19,0.0
204,815085000000,0.19,0.0
205,815124000000,0.19,0.0
206,815159000000,0.19,0.0
207,815193000000,0.19,0.0
208,815240000000,0.19,0.0
209,815279000000,0.19,0.0
210,815315000000,0.19,0.0
211,815355000000,0.19,0.0
212,815398000000,0.19,0.0
213,815444000000,0.19,0.0
214,815479000000,0.19,0.0
215,815519000000,0.19,0.0
216,815561000000,0.19,0.0
217,815600000000,0.19,0.0
218,815634000000,0.19,0.0
219,815674000000,0.19,0.0
220,815715000000,0.19,0.0
221,815750000000,0.19,0.0
222,815790000000,0.19,0.0
223,815831000000,0.19,0.0
224,815867000000,0.19,0.0
225,815902000000,0.19,0.0
226,815941000000,0.19,0.0
227,815976000000,0.19,0.0
228,816010000000,0.19,0.0
229,816058000000,0.19,0.0
230,816100000000,0.19,0.0
231,816140000000,0.19,0.0
232,816180000000,0.19,0.0
233,816225000000,0.19,0.0
234,816266000000,0.19,0.0
235,816308000000,0.19,0.0
236,816350000000,0.19,0.0
237,816385000000,0.19,0.0
238,816428000000,0.19,0.0
239,816465000000,0.19,0.0
240,816502000000,0.19,0.0
241,816546000000,0.19,0.0
242,816581000000,0.19,0.0
243,816620000000,0.19,0.0
244,816662000000,0.19,0.0
245,816696000000,0.19,0.0
246,816738000000,0.19,0.0
247,816778000000,0.19,0.0
248,816813000000,0.19,0.0
249,816857000000,0.19,0.0
250,816896000000,0.19,0.0
251,816931000000,0.19,0.0
252,816974000000,0.19,0.0
253,817013000000,0.19,0.0
254,817048000000,0.19,0.0
255,817083000000,0.19,0.0
256,817117000000,0.19,0.0
257,817155000000,0.19,0.05
258,817190000000,0.19,0.05
259,817230000000,0.19,0.1
260,817269000000,0.19,0.1
261,817305000000,0.19,0.1
262,817346000000,0.19,0.1
263,817381000000,0.19,0.1
264,817422000000,0.19,0.1
265,817459000000,0.19,0.1
266,817498000000,0.19,0.1
267,817537000000,0.19,0.1
268,817579000000,0.19,0.1
269,817623000000,0.19,0.1
270,817669000000,0.19,0.1
271,817708000000,0.19,0.1
272,817743000000,0.19,0.1
273,817777000000,0.19,0.1
274,817815000000,0.19,0.1
275,817863000000,0.19,0.1
