,Time,LinearV,AngularV
0,0.0,0.0,0.0
1,1435737000000,0.0,0.05
2,1435780000000,0.0,0.1
3,1435814000000,0.0,0.1
4,1435854000000,0.0,0.1
5,1435888000000,0.0,0.1
6,1435929000000,0.0,0.15
7,1435969000000,0.0,0.2
8,1436003000000,0.0,0.2
9,1436037000000,0.0,0.2
10,1436080000000,0.0,0.2
11,1436119000000,0.0,0.2
12,1436153000000,0.0,0.2
13,1436187000000,0.0,0.2
14,1436230000000,0.0,0.2
15,1436270000000,0.0,0.2
16,1436307000000,0.0,0.2
17,1436343000000,0.0,0.2
18,1436381000000,0.0,0.2
19,1436420000000,0.0,0.2
20,1436454000000,0.0,0.2
21,1436489000000,0.0,0.2
22,1436686000000,0.0,0.2
23,1436725000000,0.0,0.2
24,1436869000000,0.0,0.2
25,1436905000000,0.0,0.2
26,1437050000000,0.0,0.2
27,1437086000000,0.0,0.2
28,1437235000000,0.0,0.2
29,1437281000000,0.0,0.2
30,1437437000000,0.0,0.2
31,1437471000000,0.0,0.2
32,1437584000000,0.0,0.2
33,1437626000000,0.0,0.2
34,1437817000000,0.0,0.2
35,1437851000000,0.0,0.2
36,1437966000000,0.0,0.2
37,1438001000000,0.0,0.2
38,1438167000000,0.0,0.2
39,1438201000000,0.0,0.2
40,1438355000000,0.0,0.2
41,1438394000000,0.0,0.2
42,1438581000000,0.0,0.2
43,1438615000000,0.0,0.2
44,1438724000000,0.0,0.2
45,1438764000000,0.0,0.2
46,1438951000000,0.0,0.2
47,1438990000000,0.0,0.2
48,1439141000000,0.0,0.2
49,1439182000000,0.0,0.2
50,1439369000000,0.0,0.2
51,1439404000000,0.0,0.2
52,1439557000000,0.0,0.15
53,1439595000000,0.0,0.1
54,1439751000000,0.0,0.1
55,1439793000000,0.0,0.05
56,1439950000000,0.0,0.0
57,1439989000000,0.0,0.0
58,1440140000000,0.0,0.0
59,1440179000000,0.0,0.0
60,1440335000000,0.0,0.0
61,1440377000000,0.0,0.0
62,1440525000000,0.0,0.0
63,1440565000000,0.0,0.0
64,1440715000000,0.0,0.0
65,1440755000000,0.0,0.0
66,1440898000000,0.0,0.0
