,Time,LinearV,AngularV
0,0.0,0.0,0.0
1,15133039000000,0.02,0.0
2,15133079000000,0.02,0.0
3,15133123000000,0.03,0.0
4,15133157000000,0.035,0.0
5,15133191000000,0.04,0.0
6,15133225000000,0.045,0.0
7,15133265000000,0.05,0.0
8,15133303000000,0.055,0.0
9,15133346000000,0.055,0.0
10,15133384000000,0.06,0.0
11,15133428000000,0.06,0.0
12,15133467000000,0.06,0.0
13,15133502000000,0.065,0.0
14,15133542000000,0.065,0.0
15,15133580000000,0.07,0.0
16,15133625000000,0.07,0.0
17,15133670000000,0.07,0.0
18,15133705000000,0.075,0.0
19,15133741000000,0.08,0.0
20,15133777000000,0.08,0.0
21,15133812000000,0.08,0.0
22,15133856000000,0.085,0.0
23,15133894000000,0.085,0.0
24,15133931000000,0.085,0.0
25,15133967000000,0.09,0.0
26,15134002000000,0.09,0.0
27,15134044000000,0.095,0.0
28,15134080000000,0.095,0.0
29,15134114000000,0.095,0.0
30,15134156000000,0.1,0.0
31,15134195000000,0.1,0.0
32,15134235000000,0.1,0.0
33,15134272000000,0.1,0.0
34,15134308000000,0.1,0.0
35,15134343000000,0.1,0.0
36,15134380000000,0.1,0.0
37,15134419000000,0.1,0.0
38,15134459000000,0.1,0.0
39,15134503000000,0.1,0.0
40,15134547000000,0.1,0.0
41,15134582000000,0.1,0.0
42,15134621000000,0.1,0.0
43,15134661000000,0.1,0.0
44,15134696000000,0.1,0.0
45,15134731000000,0.1,0.0
46,15134771000000,0.1,0.0
47,15134806000000,0.1,0.0
48,15134844000000,0.1,0.0
49,15134879000000,0.1,0.0
50,15134922000000,0.1,0.0
51,15134957000000,0.1,0.0
52,15134997000000,0.1,0.0
53,15135031000000,0.1,0.0
54,15135070000000,0.1,0.0
55,15135106000000,0.1,0.0
56,15135146000000,0.1,0.0
57,15135190000000,0.105,0.0
58,15135232000000,0.105,0.0
59,15135271000000,0.105,0.0
60,15135306000000,0.11,0.0
61,15135346000000,0.11,0.0
62,15135382000000,0.11,0.0
63,15135427000000,0.11,0.0
64,15135470000000,0.11,0.0
65,15135506000000,0.11,0.0
66,15135547000000,0.11,0.0
67,15135586000000,0.11,0.0
68,15135621000000,0.11,0.0
