# LinearA, AngularV, Angle
-0.000000,0.000000,0.000000
-0.000000,0.000000,0.000000
-0.000000,0.000000,0.000000
-0.000000,0.000000,0.000000
-0.000000,0.000000,0.000000
-0.000000,0.000000,0.000000
-0.000000,0.000000,0.000000
-0.000000,0.000000,0.000000
-0.000000,0.000000,0.000000
-0.000000,0.000000,0.000000
-0.000000,0.000000,0.000000
-0.000000,0.000000,0.000000
-0.000000,0.000000,0.000000
-0.000000,0.000000,0.000000
-0.000000,0.000000,0.000000
-0.000000,0.000000,0.000000
-0.000000,0.000000,0.000000
0.887200,0.000100,0.000000
0.643500,-0.011300,-0.000050
-0.000300,-0.047800,-0.000131
-0.000000,-0.000000,-0.000000
-0.000200,-0.008200,-0.000091
-0.000000,-0.000000,-0.000000
0.000800,0.040800,0.000453
0.000600,0.040300,0.000171
0.000500,0.040300,0.000424
0.000200,0.031500,0.000126
0.000100,-0.043500,-0.000037
0.000400,-0.043500,-0.001243
-0.000900,-0.098800,-0.000210
-0.002600,-0.146900,-0.000683
-0.003600,-0.146900,-0.004197
0.871100,-0.141600,-0.004046
-0.448900,-0.056200,-0.000288
-0.006300,-0.121100,-0.000577
-0.010200,-0.161500,-0.001114
-0.012100,-0.135300,-0.000404
-0.015300,-0.159300,-0.001770
0.734000,-0.140800,-0.001126
0.065000,-0.143900,-0.004111
-0.010100,-0.089300,-0.000940
-0.015200,-0.139000,-0.002780
-0.020200,-0.157400,-0.000750
-0.019500,-0.148700,-0.003304
-0.014000,-0.164200,-0.000966
-0.025900,-0.154400,-0.000368
-0.025800,-0.145700,-0.000911
-0.021800,-0.120600,-0.001507
-0.018400,-0.094900,-0.000240
-0.005700,-0.028900,-0.000128
0.004000,0.020200,0.000027
0.008000,0.040900,0.000134
-0.018200,0.065000,0.000236
0.012200,0.064800,0.001851
0.002400,0.023600,0.000315
0.013900,0.079900,0.000107
0.015900,0.095600,0.000466
0.007500,0.045900,0.000278
0.008600,0.053900,0.000327
0.009800,0.061800,0.001766
0.008700,0.060500,0.000122
0.009700,0.068400,0.001244
0.008400,0.059900,0.001498
0.007100,0.051100,0.000170
-0.001700,0.013100,0.000062
-0.042700,0.062800,0.000897
-0.869200,0.035900,0.000175
-0.941300,-0.023100,-0.000058
-0.003400,-0.029300,-0.000533
0.561600,0.035700,0.000793
0.001500,0.011700,0.000043
0.002400,0.019800,0.000147
-0.000700,-0.004800,-0.000007
0.007300,0.082500,0.000097
0.008800,0.106800,0.001124
0.009600,0.146200,0.000395
0.004100,0.135200,0.000270
0.016200,0.083200,0.000158
0.000000,0.083400,0.002383
-0.000800,0.133700,0.001671
-0.002800,0.132500,0.000602
-0.003100,0.132500,0.003786
-0.003200,0.107400,0.000934
-0.003500,0.090100,0.000501
-0.002000,0.040200,0.000098
-0.000800,0.015500,0.000148
0.005400,-0.009300,-0.000041
0.000500,-0.009200,-0.000230
