# LinearA, AngularV, Angle
-0.000000,0.000000,0.000000
-0.000000,0.000000,0.000000
-0.000000,0.000000,0.000000
-0.000000,0.000000,0.000000
-0.000000,0.000000,0.000000
-0.000000,0.000000,0.000000
-0.000000,0.000000,0.000000
-0.000000,0.000000,0.000000
-0.000000,0.000000,0.000000
-0.000000,0.000000,0.000000
-0.000000,0.000000,0.000000
-0.000000,0.000000,0.000000
-0.000000,0.000000,0.000000
-0.000000,0.000000,0.000000
-0.000000,0.000000,0.000000
-0.000000,0.000000,0.000000
-0.000000,0.000000,0.000000
-0.000000,0.000000,0.000000
0.503500,-0.065400,-0.000545
-0.014000,-0.062100,-0.000188
-0.025900,-0.110400,-0.000387
-0.030100,-0.126000,-0.000764
-0.023800,-0.164300,-0.004694
-0.058000,-0.213000,-0.000520
-0.054800,-0.212900,-0.001151
-0.055100,-0.212900,-0.002839
-0.055500,-0.212900,-0.001703
-0.061900,-0.236700,-0.004304
-0.062000,-0.236700,-0.001894
-0.049000,-0.187600,-0.001340
-0.049000,-0.187600,-0.005360
-0.033000,-0.128700,-0.000299
-0.020000,-0.078600,-0.000437
-0.013500,-0.053700,-0.000336
-0.015500,-0.061600,-0.000342
-0.020300,-0.078100,-0.002231
-0.019500,-0.078000,-0.001733
0.009200,0.037100,0.000099
0.177400,-0.271400,-0.003619
0.001000,0.000000,0.000000
0.028400,0.113800,0.000245
0.018500,0.081000,0.002314
0.030600,0.121600,0.000811
0.035500,0.138300,0.000261
0.033300,0.129700,0.001621
0.031100,0.120300,0.000349
0.035500,0.136600,0.003903
0.035300,0.136600,0.003415
0.029400,0.119400,0.000724
0.029600,0.121700,0.000358
-0.020600,0.040000,0.001000
0.009300,0.039900,0.000725
0.006500,0.048600,0.001215
-0.040100,-0.154400,-0.000105
-0.054700,-0.209700,-0.000688
-0.038000,-0.192300,-0.000153
0.018000,-0.160800,-0.001149
-0.029900,-0.165700,-0.001506
-0.024200,-0.163000,-0.000343
-0.024200,-0.170600,-0.001796
-0.021800,-0.161700,-0.001797
-0.016700,-0.136500,-0.000738
-0.016100,-0.136500,-0.001950
-0.014800,-0.127800,-0.003651
-0.014500,-0.127800,-0.003651
-0.012200,-0.126700,-0.000437
-0.011200,-0.118000,-0.003371
-0.077600,-0.067000,-0.000115
-0.881200,-0.069600,-0.001989
-0.684300,-0.057700,-0.000146
0.007900,-0.063400,-0.000106
-0.001500,-0.063400,-0.001811
-0.004000,-0.047800,-0.000127
-0.000500,-0.047800,-0.001195
-0.000300,-0.048200,-0.000292
-0.507600,0.056300,0.000217
0.081800,0.066400,0.001897
0.000300,0.066400,0.001476
-0.000100,-0.040100,-0.000171
0.979900,0.096100,0.000519
-0.007500,-0.258900,-0.001363
-0.864200,-0.587100,-0.002396
-0.623100,-0.612100,-0.012242
0.523100,-0.827200,-0.007878
0.160300,-0.693900,-0.002313
