,Time,LinearV,AngularV
0,0.0,0.0,0.0
1,654895000000,0.0,0.0
2,654930000000,0.0,0.0
3,655041000000,0.0,0.0
4,655118000000,0.0,0.0
5,655159000000,0.0,0.0
6,655193000000,0.0,0.0
7,655233000000,0.0,0.0
8,655272000000,0.0,0.0
9,655311000000,0.0,0.0
10,655349000000,0.005,0.0
11,655385000000,0.005,0.0
12,655424000000,0.01,0.0
13,655460000000,0.01,0.0
14,655505000000,0.015,0.0
15,655590000000,0.02,0.0
16,655624000000,0.02,0.0
17,655665000000,0.025,0.0
18,655738000000,0.035,0.0
19,655774000000,0.035,0.0
20,655814000000,0.035,0.0
21,655855000000,0.04,0.0
22,655894000000,0.05,0.0
23,655933000000,0.05,0.0
24,655967000000,0.055,0.0
25,656001000000,0.055,0.0
26,656041000000,0.055,0.0
27,656080000000,0.06,0.0
28,656125000000,0.06,0.0
29,656164000000,0.06,0.0
30,656202000000,0.065,0.0
31,656240000000,0.065,0.0
32,656277000000,0.065,0.0
33,656322000000,0.075,0.0
34,656366000000,0.075,0.0
35,656407000000,0.08,0.0
36,656447000000,0.085,0.0
37,656485000000,0.085,0.0
38,656526000000,0.09,0.0
39,656562000000,0.095,0.0
40,656596000000,0.105,0.0
41,656636000000,0.115,0.0
42,656677000000,0.12,0.0
43,656714000000,0.12,0.0
44,656756000000,0.125,0.0
45,656791000000,0.13,0.0
46,656828000000,0.13,0.0
47,656863000000,0.135,0.0
48,656915000000,0.14,0.0
49,656956000000,0.145,0.0
50,656991000000,0.145,0.0
51,657032000000,0.145,0.0
52,657074000000,0.15,0.0
53,657110000000,0.15,0.0
54,657146000000,0.15,0.0
55,657183000000,0.15,0.0
56,657220000000,0.15,0.0
57,657260000000,0.15,0.0
58,657296000000,0.15,0.0
59,657330000000,0.15,0.0
60,657364000000,0.15,0.0
61,657398000000,0.15,0.1
62,657433000000,0.15,0.15
63,657470000000,0.15,0.15
64,657507000000,0.15,0.2
65,657542000000,0.15,0.2
66,657576000000,0.15,0.25
67,657616000000,0.15,0.3
68,657669000000,0.15,0.35
69,657709000000,0.15,0.4
70,657749000000,0.15,0.4
71,657784000000,0.15,0.45
72,657820000000,0.15,0.45
73,657997000000,0.15,0.6
74,658035000000,0.15,0.65
75,658076000000,0.15,0.7
76,658115000000,0.15,0.7
77,658159000000,0.15,0.75
78,658200000000,0.15,0.8
79,658238000000,0.15,0.8
80,658272000000,0.15,0.8
81,658308000000,0.15,0.8
82,658358000000,0.15,0.8
83,658397000000,0.15,0.8
84,658434000000,0.15,0.8
85,658477000000,0.15,0.8
86,658513000000,0.15,0.8
