,Time,LinearA,AngularV
0,0.0,0.0,0.0
1,349552000000,-0.0,0.0
2,349752000000,-0.0,0.0
3,350097000000,-0.0,0.0
4,350142000000,-0.0,0.0
5,350287000000,-0.0,0.0
6,350522000000,-0.0,0.0
7,350567000000,-0.0,0.0
8,351332000000,-0.0,0.0
9,351562000000,-0.0,0.0
10,351602000000,-0.0,0.0
11,351672000000,-0.0,0.0
12,351707000000,-0.0,0.0
13,352272000000,-0.0496,0.1293
14,352467000000,-0.0084,0.0878
15,352667000000,-0.0044,0.0429
16,352827000000,-0.0204,0.117
17,352947000000,-0.0029,0.0262
18,353112000000,0.6237,0.0357
19,353537000000,0.0008,-0.0074
20,353677000000,-0.0063,0.0174
21,353712000000,-0.0021,0.0172
22,353827000000,0.131,0.0049
23,353902000000,0.0028,-0.0443
24,353987000000,-0.9428,-0.0082
25,354282000000,0.0022,-0.0522
26,354362000000,0.0057,-0.0522
27,354407000000,0.0065,-0.0602
28,354442000000,0.0065,-0.0602
29,354477000000,-0.013,-0.0026
30,354512000000,0.0003,-0.0027
31,354857000000,0.0034,-0.0325
32,355017000000,0.0033,-0.0322
33,355302000000,0.004,-0.0418
34,355342000000,0.004,-0.0418
35,355417000000,0.0032,-0.0334
36,355527000000,0.0038,-0.0414
37,355852000000,0.0075,-0.0902
38,356352000000,0.0058,-0.0811
39,356532000000,0.0041,-0.064
40,356572000000,0.004,-0.064
41,356687000000,0.8815,-0.0882
42,356802000000,-0.0131,-0.1008
43,356877000000,0.0049,-0.1202
44,357112000000,0.8907,-0.0964
45,357152000000,-0.5804,-0.0986
46,357197000000,0.0032,-0.0998
47,357432000000,0.0006,-0.0273
48,357637000000,0.1634,-0.047
49,357862000000,-0.0118,-0.0836
50,357907000000,-0.0868,-0.0157
51,357977000000,0.0008,-0.077
52,358267000000,-0.0001,-0.0719
53,358642000000,-0.9788,-0.0186
54,359007000000,-0.0355,-0.2109
55,359422000000,-0.004,-0.1026
56,359732000000,-0.0314,-0.5018
57,359887000000,-0.0739,-0.8191
58,359922000000,-0.9592,-0.8148
59,360157000000,0.0119,-1.1518
60,360302000000,-0.0835,-1.285
61,360342000000,-0.0676,-1.3573
62,361242000000,0.8529,-1.3767
63,361497000000,0.0162,-1.3451
64,361627000000,0.014,-1.2797
65,361967000000,0.0009,-0.9969
66,362042000000,0.0003,-0.9478
67,362562000000,-0.7976,-1.2186
68,362662000000,0.3229,-1.5164
69,363197000000,-0.2335,-1.8136
70,363322000000,-0.0072,-1.7781
71,363612000000,0.0128,-1.5764
72,363647000000,0.0135,-1.5764
73,363682000000,0.0205,-1.5106
74,364022000000,0.0144,-1.5106
75,364212000000,0.6314,-1.3462
76,364247000000,0.5539,-1.1868
77,365177000000,-0.2804,-0.7669
78,365212000000,0.3838,-0.7965
79,365777000000,0.6894,-0.6518
80,365892000000,-0.012,-0.3986
81,365932000000,-0.0103,-0.3986
82,366062000000,0.9776,-0.3459
83,366102000000,0.9781,-0.3471
84,366137000000,0.2286,-0.3223
85,366372000000,0.8907,-0.2383
86,366957000000,-0.0039,-0.1679
87,367237000000,-0.0078,-0.0057
88,367737000000,-0.0132,-0.2737
89,367967000000,-0.0061,-0.1258
90,368247000000,-0.0302,-0.2752
91,368567000000,-0.0104,-0.0852
92,368607000000,-0.0105,-0.0852
93,368842000000,-0.0174,-0.1734
94,369067000000,-0.0112,-0.1204
95,369102000000,-0.0097,-0.0724
96,369142000000,-0.0095,-0.0724
97,369547000000,-0.3652,-0.3711
98,369582000000,0.0831,-0.3224
99,370247000000,0.0512,-0.2156
100,370662000000,-0.057,0.2253
101,370702000000,-0.0578,0.2253
