,Time,LinearV,AngularV
0,0.0,0.0,0.0
1,6166049000000,0.0,-0.1
2,6166091000000,0.0,-0.1
3,6166133000000,0.0,-0.1
4,6166171000000,0.0,-0.1
5,6166212000000,0.0,-0.1
6,6166248000000,0.0,-0.1
7,6166288000000,0.0,-0.1
8,6166322000000,0.0,-0.1
9,6166357000000,0.0,-0.1
10,6166391000000,0.0,-0.1
11,6166429000000,0.0,-0.1
12,6166465000000,0.0,-0.1
13,6166506000000,0.0,-0.1
14,6166543000000,0.0,-0.1
15,6166584000000,0.0,-0.1
16,6166619000000,0.0,-0.1
17,6166657000000,0.0,-0.1
18,6166704000000,0.0,-0.1
19,6166742000000,0.0,-0.1
20,6166776000000,0.0,-0.1
21,6166810000000,0.0,-0.1
22,6166853000000,0.0,-0.1
23,6166889000000,0.0,-0.1
24,6166928000000,0.0,-0.1
25,6166966000000,0.0,-0.1
26,6167009000000,0.0,-0.1
27,6167047000000,0.0,-0.1
28,6167086000000,0.0,-0.1
29,6167127000000,0.0,-0.1
30,6167172000000,0.0,-0.1
31,6167214000000,0.0,-0.1
32,6167260000000,0.0,-0.1
33,6167302000000,0.0,-0.1
34,6167340000000,0.0,-0.1
35,6167383000000,0.0,-0.1
36,6167421000000,0.0,-0.1
37,6167466000000,0.0,-0.1
38,6167507000000,0.0,-0.1
39,6167545000000,0.0,-0.1
40,6167583000000,0.0,-0.1
41,6167620000000,0.0,-0.1
42,6167665000000,0.0,-0.1
43,6167705000000,0.0,-0.1
44,6167749000000,0.0,-0.1
45,6167788000000,0.0,-0.1
46,6167822000000,0.0,-0.1
47,6167857000000,0.0,-0.1
48,6167901000000,0.0,-0.1
49,6167938000000,0.0,-0.1
50,6167982000000,0.0,-0.1
51,6168022000000,0.0,-0.1
52,6168064000000,0.0,-0.1
53,6168101000000,0.0,-0.1
54,6168142000000,0.0,-0.1
55,6168180000000,0.0,-0.1
56,6168215000000,0.0,-0.1
57,6168249000000,0.0,-0.1
58,6168290000000,0.0,-0.1
59,6168325000000,0.0,-0.1
60,6168371000000,0.0,-0.1
61,6168409000000,0.0,-0.1
62,6168449000000,0.0,-0.1
63,6168491000000,0.0,-0.1
64,6168529000000,0.0,-0.1
65,6168572000000,0.0,-0.1
66,6168616000000,0.0,-0.1
67,6168655000000,0.0,-0.1
68,6168690000000,0.0,-0.1
69,6168725000000,0.0,-0.1
70,6168765000000,0.0,-0.1
71,6168806000000,0.0,-0.1
72,6168854000000,0.0,-0.1
73,6168894000000,0.0,-0.1
74,6168929000000,0.0,-0.1
75,6168972000000,0.0,-0.1
76,6169014000000,0.0,-0.1
77,6169054000000,0.005,-0.1
78,6169091000000,0.005,-0.1
79,6169126000000,0.005,-0.1
80,6169170000000,0.01,-0.1
81,6169218000000,0.015,-0.1
82,6169254000000,0.015,-0.1
83,6169300000000,0.015,-0.1
84,6169343000000,0.02,-0.1
85,6169384000000,0.02,-0.1
86,6169418000000,0.025,-0.1
87,6169457000000,0.025,-0.1
88,6169501000000,0.025,-0.1
89,6169540000000,0.03,-0.1
90,6169575000000,0.03,-0.1
91,6169611000000,0.035,-0.1
92,6169649000000,0.035,-0.1
93,6169683000000,0.035,-0.1
94,6169723000000,0.04,-0.1
95,6169767000000,0.04,-0.1
96,6169812000000,0.045,-0.1
97,6169846000000,0.045,-0.1
98,6169885000000,0.045,-0.1
99,6169931000000,0.05,-0.1
100,6169971000000,0.05,-0.1
101,6170015000000,0.05,-0.1
102,6170060000000,0.05,-0.1
103,6170098000000,0.05,-0.1
104,6170136000000,0.05,-0.1
105,6170172000000,0.05,-0.1
106,6170209000000,0.05,-0.1
107,6170248000000,0.05,-0.1
108,6170285000000,0.05,-0.1
109,6170329000000,0.05,-0.1
110,6170363000000,0.05,-0.1
111,6170397000000,0.05,-0.1
112,6170433000000,0.05,-0.1
113,6170480000000,0.05,-0.1
114,6170515000000,0.05,-0.1
115,6170553000000,0.05,-0.1
116,6170587000000,0.05,-0.1
117,6170623000000,0.05,-0.1
118,6170660000000,0.05,-0.1
119,6170694000000,0.05,-0.1
120,6170735000000,0.05,-0.1
121,6170769000000,0.05,-0.1
122,6170816000000,0.05,-0.1
123,6170851000000,0.05,-0.1
124,6170890000000,0.05,-0.1
125,6170926000000,0.05,-0.1
126,6170965000000,0.05,-0.1
127,6171003000000,0.05,-0.1
128,6171045000000,0.05,-0.1
129,6171084000000,0.05,-0.1
130,6171121000000,0.05,-0.1
131,6171165000000,0.05,-0.1
132,6171203000000,0.05,-0.1
133,6171238000000,0.05,-0.1
134,6171274000000,0.05,-0.1
135,6171315000000,0.05,-0.1
136,6171352000000,0.05,-0.1
137,6171387000000,0.05,-0.1
138,6171421000000,0.05,-0.1
139,6171460000000,0.05,-0.1
140,6171494000000,0.05,-0.1
141,6171535000000,0.05,-0.1
142,6171571000000,0.05,-0.1
143,6171615000000,0.05,-0.1
144,6171650000000,0.05,-0.1
145,6171686000000,0.05,-0.1
146,6171725000000,0.05,-0.1
147,6171761000000,0.05,-0.1
148,6171805000000,0.05,-0.1
149,6171840000000,0.05,-0.1
150,6171879000000,0.05,-0.1
151,6171920000000,0.05,-0.1
152,6171959000000,0.05,-0.1
153,6172003000000,0.05,-0.1
154,6172044000000,0.05,-0.1
155,6172081000000,0.05,-0.1
156,6172121000000,0.05,-0.1
157,6172160000000,0.05,-0.1
158,6172201000000,0.05,-0.1
159,6172239000000,0.05,-0.1
160,6172282000000,0.05,-0.1
161,6172318000000,0.05,-0.1
162,6172357000000,0.05,-0.1
163,6172392000000,0.05,-0.1
164,6172434000000,0.05,-0.1
165,6172469000000,0.05,-0.1
166,6172509000000,0.05,-0.1
167,6172545000000,0.05,-0.1
168,6172582000000,0.05,-0.1
169,6172617000000,0.05,-0.1
170,6172659000000,0.05,-0.1
171,6172695000000,0.05,-0.1
172,6172731000000,0.05,-0.1
173,6172774000000,0.05,-0.1
174,6172809000000,0.05,-0.1
175,6172844000000,0.05,-0.1
176,6172882000000,0.05,-0.15
177,6172917000000,0.05,-0.15
178,6172956000000,0.05,-0.15
179,6172991000000,0.05,-0.2
180,6173027000000,0.05,-0.2
181,6173061000000,0.05,-0.2
182,6173103000000,0.05,-0.2
183,6173142000000,0.05,-0.2
184,6173178000000,0.05,-0.2
185,6173217000000,0.05,-0.2
186,6173251000000,0.05,-0.2
187,6173297000000,0.05,-0.2
188,6173339000000,0.05,-0.2
189,6173380000000,0.05,-0.2
190,6173423000000,0.05,-0.2
191,6173461000000,0.05,-0.2
192,6173495000000,0.05,-0.2
193,6173538000000,0.05,-0.2
194,6173575000000,0.05,-0.2
195,6173613000000,0.05,-0.2
196,6173651000000,0.05,-0.2
197,6173696000000,0.05,-0.2
198,6173738000000,0.05,-0.2
199,6173779000000,0.05,-0.2
200,6173815000000,0.05,-0.2
201,6173852000000,0.05,-0.2
202,6173897000000,0.05,-0.2
203,6173931000000,0.05,-0.2
204,6173974000000,0.05,-0.2
205,6174012000000,0.05,-0.2
206,6174050000000,0.05,-0.2
207,6174088000000,0.05,-0.2
208,6174129000000,0.05,-0.2
209,6174176000000,0.05,-0.2
210,6174215000000,0.05,-0.2
211,6174258000000,0.05,-0.2
212,6174292000000,0.05,-0.2
213,6174332000000,0.05,-0.2
214,6174366000000,0.05,-0.2
215,6174413000000,0.05,-0.2
216,6174448000000,0.05,-0.2
217,6174482000000,0.05,-0.2
218,6174516000000,0.05,-0.2
219,6174562000000,0.05,-0.2
220,6174601000000,0.05,-0.2
221,6174638000000,0.05,-0.2
222,6174674000000,0.05,-0.2
223,6174712000000,0.05,-0.2
224,6174749000000,0.05,-0.2
225,6174791000000,0.05,-0.2
226,6174831000000,0.05,-0.2
227,6174876000000,0.05,-0.2
228,6174915000000,0.05,-0.2
229,6174960000000,0.05,-0.2
230,6175002000000,0.05,-0.2
231,6175038000000,0.05,-0.2
232,6175078000000,0.05,-0.2
233,6175123000000,0.05,-0.2
234,6175165000000,0.05,-0.2
235,6175204000000,0.05,-0.2
236,6175247000000,0.05,-0.2
237,6175284000000,0.05,-0.2
238,6175326000000,0.05,-0.2
239,6175360000000,0.05,-0.2
240,6175403000000,0.05,-0.2
241,6175438000000,0.05,-0.2
242,6175477000000,0.05,-0.2
243,6175513000000,0.05,-0.2
244,6175551000000,0.05,-0.2
245,6175588000000,0.05,-0.2
246,6175630000000,0.05,-0.2
247,6175665000000,0.05,-0.2
248,6175699000000,0.05,-0.2
249,6175738000000,0.05,-0.2
250,6175781000000,0.05,-0.2
251,6175825000000,0.05,-0.2
252,6175859000000,0.05,-0.2
253,6175893000000,0.05,-0.2
254,6175929000000,0.05,-0.2
255,6175971000000,0.05,-0.2
256,6176012000000,0.05,-0.2
257,6176050000000,0.05,-0.2
258,6176094000000,0.05,-0.2
259,6176128000000,0.05,-0.15
260,6176172000000,0.05,-0.15
261,6176215000000,0.05,-0.1
262,6176257000000,0.05,-0.1
263,6176300000000,0.05,-0.1
264,6176336000000,0.05,-0.1
265,6176379000000,0.05,-0.1
266,6176414000000,0.05,-0.1
267,6176453000000,0.05,-0.1
268,6176496000000,0.05,-0.1
269,6176538000000,0.05,-0.1
270,6176572000000,0.05,-0.1
271,6176606000000,0.05,-0.1
272,6176649000000,0.05,-0.1
273,6176693000000,0.05,-0.1
274,6176737000000,0.05,-0.1
275,6176781000000,0.05,-0.1
276,6176823000000,0.05,-0.1
277,6176859000000,0.05,-0.1
278,6176903000000,0.05,-0.1
279,6176937000000,0.05,-0.1
280,6176980000000,0.05,-0.1
281,6177022000000,0.05,-0.1
282,6177065000000,0.05,-0.1
283,6177107000000,0.05,-0.1
284,6177150000000,0.05,-0.1
285,6177189000000,0.05,-0.1
286,6177223000000,0.05,-0.1
287,6177270000000,0.05,-0.1
288,6177305000000,0.05,-0.1
289,6177344000000,0.05,-0.1
290,6177382000000,0.05,-0.1
291,6177425000000,0.05,-0.1
292,6177467000000,0.05,-0.1
293,6177507000000,0.05,-0.1
294,6177550000000,0.05,-0.1
295,6177586000000,0.05,-0.1
296,6177630000000,0.05,-0.1
297,6177673000000,0.05,-0.1
298,6177711000000,0.05,-0.1
299,6177754000000,0.05,-0.1
300,6177797000000,0.05,-0.1
301,6177832000000,0.05,-0.1
302,6177876000000,0.05,-0.1
303,6177921000000,0.05,-0.1
304,6177967000000,0.05,-0.1
305,6178011000000,0.05,-0.1
306,6178052000000,0.05,-0.1
307,6178094000000,0.05,-0.1
308,6178137000000,0.05,-0.1
309,6178171000000,0.05,-0.1
310,6178210000000,0.05,-0.1
311,6178251000000,0.05,-0.1
312,6178293000000,0.05,-0.1
313,6178338000000,0.05,-0.1
314,6178380000000,0.05,-0.1
315,6178416000000,0.05,-0.1
316,6178460000000,0.05,-0.1
317,6178501000000,0.05,-0.1
318,6178535000000,0.05,-0.1
319,6178577000000,0.05,-0.1
320,6178611000000,0.05,-0.1
321,6178648000000,0.05,-0.1
322,6178682000000,0.05,-0.1
323,6178716000000,0.05,-0.1
324,6178759000000,0.05,-0.1
325,6178803000000,0.05,-0.1
326,6178840000000,0.05,-0.1
327,6178875000000,0.05,-0.1
328,6178910000000,0.05,-0.1
329,6178950000000,0.05,-0.1
330,6178984000000,0.05,-0.1
331,6179024000000,0.05,-0.1
332,6179064000000,0.05,-0.1
333,6179100000000,0.05,-0.1
334,6179138000000,0.05,-0.1
335,6179172000000,0.05,-0.1
336,6179207000000,0.05,-0.1
337,6179246000000,0.05,-0.1
338,6179280000000,0.05,-0.1
339,6179319000000,0.05,-0.1
340,6179360000000,0.05,-0.1
341,6179403000000,0.05,-0.1
342,6179446000000,0.05,-0.1
343,6179482000000,0.05,-0.1
344,6179517000000,0.05,-0.1
345,6179559000000,0.05,-0.1
346,6179596000000,0.05,-0.1
347,6179639000000,0.05,-0.1
348,6179675000000,0.05,-0.1
349,6179709000000,0.05,-0.1
350,6179746000000,0.05,-0.1
351,6179780000000,0.05,-0.1
352,6179824000000,0.05,-0.1
353,6179860000000,0.05,-0.1
354,6179902000000,0.05,-0.1
355,6179936000000,0.05,-0.1
356,6179970000000,0.05,-0.1
357,6180006000000,0.05,-0.1
358,6180044000000,0.05,-0.1
359,6180078000000,0.05,-0.1
360,6180118000000,0.05,-0.1
361,6180154000000,0.05,-0.1
362,6180188000000,0.05,-0.1
363,6180230000000,0.05,-0.1
364,6180268000000,0.05,-0.1
365,6180309000000,0.05,-0.1
366,6180344000000,0.05,-0.1
367,6180382000000,0.05,-0.1
368,6180418000000,0.05,-0.1
369,6180453000000,0.05,-0.1
370,6180493000000,0.05,-0.1
371,6180533000000,0.05,-0.1
372,6180581000000,0.05,-0.1
373,6180627000000,0.05,-0.1
374,6180663000000,0.05,-0.1
375,6180702000000,0.05,-0.1
376,6180736000000,0.05,-0.1
377,6180770000000,0.05,-0.1
378,6180805000000,0.05,-0.1
379,6180849000000,0.05,-0.1
380,6180890000000,0.05,-0.1
381,6180926000000,0.05,-0.1
382,6180960000000,0.05,-0.1
383,6180995000000,0.05,-0.1
384,6181032000000,0.05,-0.1
385,6181067000000,0.05,-0.1
386,6181115000000,0.05,-0.1
387,6181150000000,0.05,-0.1
388,6181184000000,0.05,-0.1
389,6181229000000,0.05,-0.1
390,6181264000000,0.05,-0.1
391,6181310000000,0.05,-0.1
