# LinearA, AngularV
-0.000000,0.000000
-0.000000,0.000000
-0.000000,0.000000
-0.000000,0.000000
-0.000000,0.000000
-0.000000,0.000000
-0.000000,0.000000
-0.000000,0.000000
-0.000000,0.000000
-0.000000,0.000000
-0.000000,0.000000
-0.000000,0.000000
-0.000000,0.000000
-0.000000,0.000000
-0.000000,0.000000
-0.000000,0.000000
-0.000000,0.000000
-0.000000,0.000000
0.503500,-0.065400
-0.014000,-0.062100
-0.025900,-0.110400
-0.030100,-0.126000
-0.023800,-0.164300
-0.058000,-0.213000
-0.054800,-0.212900
-0.055100,-0.212900
-0.055500,-0.212900
-0.061900,-0.236700
-0.062000,-0.236700
-0.049000,-0.187600
-0.049000,-0.187600
-0.033000,-0.128700
-0.020000,-0.078600
-0.013500,-0.053700
-0.015500,-0.061600
-0.020300,-0.078100
-0.019500,-0.078000
0.009200,0.037100
0.177400,-0.271400
0.001000,0.000000
0.028400,0.113800
0.018500,0.081000
0.030600,0.121600
0.035500,0.138300
0.033300,0.129700
0.031100,0.120300
0.035500,0.136600
0.035300,0.136600
0.029400,0.119400
0.029600,0.121700
-0.020600,0.040000
0.009300,0.039900
0.006500,0.048600
-0.040100,-0.154400
-0.054700,-0.209700
-0.038000,-0.192300
0.018000,-0.160800
-0.029900,-0.165700
-0.024200,-0.163000
-0.024200,-0.170600
-0.021800,-0.161700
-0.016700,-0.136500
-0.016100,-0.136500
-0.014800,-0.127800
-0.014500,-0.127800
-0.012200,-0.126700
-0.011200,-0.118000
-0.077600,-0.067000
-0.881200,-0.069600
-0.684300,-0.057700
0.007900,-0.063400
-0.001500,-0.063400
-0.004000,-0.047800
-0.000500,-0.047800
-0.000300,-0.048200
-0.507600,0.056300
0.081800,0.066400
0.000300,0.066400
-0.000100,-0.040100
0.979900,0.096100
-0.007500,-0.258900
-0.864200,-0.587100
-0.623100,-0.612100
0.523100,-0.827200
0.160300,-0.693900
0.168700,-0.643100
0.170000,-0.643100
0.150400,-0.600000
0.136700,-0.556900
0.148600,-0.579600
0.146400,-0.579500
0.125500,-0.552900
0.097900,-0.499900
0.074100,-0.408100
0.042100,-0.404900
0.039300,-0.404900
0.029100,-0.395100
0.018500,-0.418300
0.015300,-0.418300
0.008500,-0.424900
0.001200,-0.366100
-0.004500,-0.389200
0.081600,-0.386600
-0.036000,-0.360500
-0.060500,-0.422100
-0.057000,-0.321000
-0.059300,-0.321000
-0.066000,-0.299900
-0.072000,-0.277600
-0.061700,-0.235700
-0.052500,-0.210300
-0.052300,-0.210300
-0.041600,-0.159800
-0.024100,-0.093300
-0.024000,-0.093300
-0.039100,-0.151300
-0.022500,-0.092500
-0.004500,-0.011500
0.007400,0.029400
0.015700,0.061900
0.021900,0.086200
0.147900,-0.060700
-0.042600,0.049000
0.043100,-0.077700
0.040100,0.156600
0.040100,0.155400
0.050500,0.195700
0.050300,0.186800
0.048200,0.186900
-0.086900,-0.009800
-0.003900,-0.022400
0.030700,0.126900
0.319600,0.150800
0.051700,0.221000
0.051300,0.221000
0.047900,0.212100
0.137200,0.194300
0.026000,0.138900
0.043700,0.212000
0.035600,0.239700
0.034800,0.239700
0.034900,0.230500
0.031700,0.230600
0.021700,0.203600
0.018500,0.194700
0.016300,0.185700
0.013700,0.176800
0.006500,0.141600
-0.000000,0.072500
-0.000900,0.046800
0.000000,0.000000
0.000400,-0.024400
0.000200,-0.016000
0.000300,-0.024100
0.000300,-0.024100
0.000300,-0.024100
0.000200,-0.024100
0.003000,-0.032100
0.000300,-0.032000
-0.729100,-0.028600
0.000100,-0.023600
0.000100,-0.015200
-0.000000,-0.007000
-0.000300,-0.047700
-0.781300,-0.038000
0.003800,-0.035800
-0.000300,-0.035800
-0.000400,-0.043700
-0.000100,-0.010600
0.000300,0.022400
-0.019900,-0.331900
-0.035300,-0.376100
-0.338700,-0.816600
0.000800,-1.323000
-0.587800,-1.415200
0.754800,-1.281700
0.108800,-1.138800
0.567900,-1.100800
0.122300,-1.110300
0.067700,-0.905000
-0.008400,-0.912800
0.898600,-0.912600
0.302600,-0.381500
0.226300,-0.198100
0.064400,-0.131100
0.200900,0.012800
0.017000,0.094800
0.647000,0.486400
0.091500,0.483600
0.092700,0.506400
-0.033300,0.383400
0.039100,0.451300
0.017400,0.474300
-0.007100,0.471000
-0.057200,0.431300
-0.058300,0.358200
-0.062100,0.358200
-0.082600,0.414000
-0.072000,0.339100
-0.076200,0.355600
-0.081800,0.362500
-0.093700,0.402200
-0.098900,0.409000
-0.098900,0.399400
-0.097400,0.380300
-0.095100,0.370800
-0.086200,0.342300
-0.079200,0.323600
-0.063500,0.286700
-0.038700,0.201300
-0.035000,0.199800
-0.035500,0.207200
-0.034800,0.207200
-0.034400,0.181800
-0.006700,0.055500
-0.002700,0.022300
0.002900,-0.024500
-0.010300,0.094100
0.005600,-0.047800
-0.621200,-0.042500
0.007000,-0.044300
-0.018600,-0.149800
0.019300,-0.140900
0.016700,-0.115900
0.017300,-0.115900
0.015600,-0.107200
0.022700,-0.140000
0.021300,-0.131300
0.016500,-0.154300
0.028000,-0.154200
0.028400,-0.154200
0.038900,-0.184400
0.037000,-0.184400
0.032200,-0.159200
0.033200,-0.159200
0.027000,-0.125400
0.027400,-0.125400
0.036500,-0.165800
0.031700,-0.140600
0.033600,-0.148300
0.022700,-0.098200
0.023000,-0.098200
0.033400,-0.137400
0.038700,-0.149700
0.030100,-0.115900
0.034200,-0.131300
0.029800,-0.114100
0.023000,-0.088300
0.001400,0.000000
-0.014900,0.059900
0.003800,0.000100
0.000000,-0.000000
0.008900,-0.030000
0.002000,-0.007600
0.002000,-0.007600
0.004100,-0.015700
0.004100,-0.015700
-0.006500,0.025200
-0.006300,0.024500
-0.012700,0.048900
0.001200,0.124300
-0.007900,0.037800
-0.018000,0.096000
-0.018000,0.096000
-0.012400,0.069900
0.002800,-0.018700
0.014500,-0.099800
0.099600,-0.298500
0.097300,-0.549300
0.098500,-0.575100
-0.105200,-0.452100
-0.244700,-0.243500
-0.222300,-0.421700
-0.396500,-0.553500
0.085100,-0.803400
-0.868200,-0.816000
-0.889400,-0.835600
0.021200,-0.903700
-0.000500,-1.105000
0.002200,-1.006300
0.047400,-1.691200
0.071600,-1.602700
0.073100,-1.602700
0.043400,-1.268300
-0.624900,-0.951000
-0.023000,-0.914500
-0.171600,-0.420000
0.082100,-0.320600
0.042300,-0.162900
0.035800,-0.137800
0.035800,-0.137800
0.047700,-0.178100
