,Time,LinearV,AngularV
0,0.0,0.0,0.0
1,11875910000000,0.01,0.0
2,11875945000000,0.01,0.0
3,11875980000000,0.01,0.0
4,11876020000000,0.01,0.0
5,11876060000000,0.01,0.0
6,11876101000000,0.01,0.0
7,11876135000000,0.01,0.0
8,11876173000000,0.01,0.0
9,11876210000000,0.01,0.0
10,11876247000000,0.01,0.0
11,11876288000000,0.01,0.0
12,11876324000000,0.01,0.0
13,11876361000000,0.01,0.0
14,11876398000000,0.015,0.0
15,11876441000000,0.015,0.0
16,11876482000000,0.02,0.0
17,11876523000000,0.02,0.0
18,11876559000000,0.02,0.0
19,11876594000000,0.02,0.0
20,11876632000000,0.02,0.0
21,11876673000000,0.02,0.0
22,11876708000000,0.02,0.0
23,11876746000000,0.02,0.0
24,11876786000000,0.02,0.0
25,11876826000000,0.02,0.0
26,11876867000000,0.025,0.0
27,11876909000000,0.03,0.0
28,11876951000000,0.035,0.0
29,11876994000000,0.04,0.0
30,11877033000000,0.045,0.0
31,11877076000000,0.05,0.0
32,11877116000000,0.055,0.0
33,11877152000000,0.06,0.0
34,11877198000000,0.065,0.0
35,11877232000000,0.07,0.0
36,11877266000000,0.08,0.0
37,11877305000000,0.08,0.0
38,11877349000000,0.085,0.0
39,11877388000000,0.09,0.0
40,11877424000000,0.095,0.0
41,11877458000000,0.095,0.0
42,11877498000000,0.1,0.0
43,11877544000000,0.105,0.0
44,11877578000000,0.11,0.0
45,11877619000000,0.115,0.0
46,11877661000000,0.12,0.0
47,11877702000000,0.125,0.0
48,11877743000000,0.13,0.0
49,11877784000000,0.135,0.0
50,11877828000000,0.14,0.0
51,11877862000000,0.145,0.0
52,11877896000000,0.155,0.0
53,11877933000000,0.155,0.0
54,11877976000000,0.16,0.0
55,11878015000000,0.165,0.0
56,11878053000000,0.17,0.0
57,11878091000000,0.175,0.0
58,11878131000000,0.18,0.0
59,11878170000000,0.185,0.0
60,11878205000000,0.195,0.0
61,11878249000000,0.195,0.0
62,11878291000000,0.195,0.0
63,11878334000000,0.2,0.0
64,11878375000000,0.2,0.0
65,11878417000000,0.205,0.0
66,11878459000000,0.205,0.0
67,11878496000000,0.21,0.05
68,11878537000000,0.21,0.05
69,11878578000000,0.21,0.05
70,11878617000000,0.215,0.1
71,11878658000000,0.215,0.1
72,11878701000000,0.22,0.15
73,11878738000000,0.22,0.15
74,11878784000000,0.22,0.2
75,11878822000000,0.22,0.25
76,11878859000000,0.22,0.25
77,11878896000000,0.22,0.25
78,11878936000000,0.22,0.3
79,11878971000000,0.22,0.35
80,11879015000000,0.22,0.35
81,11879058000000,0.22,0.4
82,11879096000000,0.22,0.4
83,11879133000000,0.22,0.45
84,11879172000000,0.22,0.45
85,11879207000000,0.22,0.45
86,11879241000000,0.22,0.5
87,11879275000000,0.22,0.55
