,Time,LinearA,AngularV
0,0.0,0.0,0.0
1,47751000000,-0.0,0.0
2,47856000000,-0.0,0.0
3,48416000000,-0.0,0.0
4,48451000000,-0.0,0.0
5,48631000000,-0.0,0.0
6,48901000000,-0.0,0.0
7,49151000000,-0.0,0.0
8,49276000000,-0.0,0.0
9,49366000000,-0.0,0.0
10,49536000000,-0.0,0.0
11,49751000000,-0.0,0.0
12,49786000000,-0.0,0.0
13,50506000000,-0.0,0.0
14,50551000000,-0.0,0.0
15,50761000000,-0.0,0.0
16,50826000000,-0.0,0.0
17,51306000000,-0.0,0.0
18,51766000000,0.8872,0.0001
19,51991000000,0.6435,-0.0113
20,52356000000,-0.0003,-0.0478
21,53171000000,-0.0,-0.0
22,53261000000,-0.0002,-0.0082
23,53566000000,-0.0,-0.0
24,53656000000,0.0008,0.0408
25,53891000000,0.0006,0.0403
26,53986000000,0.0005,0.0403
27,54236000000,0.0002,0.0315
28,55416000000,0.0001,-0.0435
29,55451000000,0.0004,-0.0435
30,55921000000,-0.0009,-0.0988
31,56136000000,-0.0026,-0.1469
32,56171000000,-0.0036,-0.1469
33,56206000000,0.8711,-0.1416
34,56401000000,-0.4489,-0.0562
35,56611000000,-0.0063,-0.1211
36,56756000000,-0.0102,-0.1615
37,57091000000,-0.0121,-0.1353
38,57181000000,-0.0153,-0.1593
39,57306000000,0.734,-0.1408
40,57341000000,0.065,-0.1439
41,57436000000,-0.0101,-0.0893
42,57486000000,-0.0152,-0.139
43,57696000000,-0.0202,-0.1574
44,57741000000,-0.0195,-0.1487
45,57911000000,-0.014,-0.1642
46,58331000000,-0.0259,-0.1544
47,58491000000,-0.0258,-0.1457
48,58571000000,-0.0218,-0.1206
49,58966000000,-0.0184,-0.0949
50,59191000000,-0.0057,-0.0289
51,59926000000,0.004,0.0202
52,60231000000,0.008,0.0409
53,60506000000,-0.0182,0.065
54,60541000000,0.0122,0.0648
55,60616000000,0.0024,0.0236
56,61366000000,0.0139,0.0799
57,61571000000,0.0159,0.0956
58,61736000000,0.0075,0.0459
59,61901000000,0.0086,0.0539
60,61936000000,0.0098,0.0618
61,62431000000,0.0087,0.0605
62,62486000000,0.0097,0.0684
63,62526000000,0.0084,0.0599
64,62826000000,0.0071,0.0511
65,63036000000,-0.0017,0.0131
66,63106000000,-0.0427,0.0628
67,63311000000,-0.8692,0.0359
68,63711000000,-0.9413,-0.0231
69,63766000000,-0.0034,-0.0293
70,63811000000,0.5616,0.0357
71,64081000000,0.0015,0.0117
72,64216000000,0.0024,0.0198
73,64866000000,-0.0007,-0.0048
74,65716000000,0.0073,0.0825
75,65811000000,0.0088,0.1068
76,66181000000,0.0096,0.1462
