,Time,LinearA,AngularV
0,0.0,0.0,0.0
1,294922000000,-0.0,0.0
2,295197000000,-0.0,0.0
3,295422000000,-0.0,0.0
4,295812000000,-0.0,0.0
5,295927000000,-0.0,0.0
6,296037000000,-0.0,0.0
7,296272000000,-0.0,0.0
8,296472000000,-0.0,0.0
9,296517000000,-0.0,0.0
10,296632000000,-0.0,0.0
11,296672000000,-0.0,0.0
12,297022000000,-0.0,0.0
13,297252000000,-0.0,0.0
14,297292000000,-0.0,0.0
15,297372000000,-0.0,0.0
16,297412000000,-0.0,0.0
17,297487000000,-0.0,0.0
18,297632000000,-0.0,0.0
19,297752000000,0.5035,-0.0654
20,298082000000,-0.014,-0.0621
21,298367000000,-0.0259,-0.1104
22,298532000000,-0.0301,-0.126
23,298567000000,-0.0238,-0.1643
24,298977000000,-0.058,-0.213
25,299162000000,-0.0548,-0.2129
26,299237000000,-0.0551,-0.2129
27,299362000000,-0.0555,-0.2129
28,299417000000,-0.0619,-0.2367
29,299542000000,-0.062,-0.2367
30,299682000000,-0.049,-0.1876
31,299717000000,-0.049,-0.1876
32,300147000000,-0.033,-0.1287
33,300327000000,-0.02,-0.0786
34,300487000000,-0.0135,-0.0537
35,300667000000,-0.0155,-0.0616
36,300702000000,-0.0203,-0.0781
37,300747000000,-0.0195,-0.078
38,301122000000,0.0092,0.0371
39,301197000000,0.1774,-0.2714
40,301277000000,0.001,0.0
41,301742000000,0.0284,0.1138
42,301777000000,0.0185,0.081
43,301927000000,0.0306,0.1216
44,302457000000,0.0355,0.1383
45,302537000000,0.0333,0.1297
46,302882000000,0.0311,0.1203
47,302917000000,0.0355,0.1366
48,302957000000,0.0353,0.1366
49,303122000000,0.0294,0.1194
50,303462000000,0.0296,0.1217
51,303502000000,-0.0206,0.04
52,303557000000,0.0093,0.0399
53,303597000000,0.0065,0.0486
54,305062000000,-0.0401,-0.1544
55,305367000000,-0.0547,-0.2097
56,306627000000,-0.038,-0.1923
57,306767000000,0.018,-0.1608
58,306877000000,-0.0299,-0.1657
59,307352000000,-0.0242,-0.163
60,307447000000,-0.0242,-0.1706
61,307537000000,-0.0218,-0.1617
62,307722000000,-0.0167,-0.1365
63,307792000000,-0.0161,-0.1365
64,307827000000,-0.0148,-0.1278
65,307862000000,-0.0145,-0.1278
66,308152000000,-0.0122,-0.1267
67,308187000000,-0.0112,-0.118
68,308772000000,-0.0776,-0.067
69,308807000000,-0.8812,-0.0696
70,309202000000,-0.6843,-0.0577
71,309802000000,0.0079,-0.0634
72,309837000000,-0.0015,-0.0634
73,310212000000,-0.004,-0.0478
74,310252000000,-0.0005,-0.0478
75,310417000000,-0.0003,-0.0482
76,310677000000,-0.5076,0.0563
77,310712000000,0.0818,0.0664
78,310757000000,0.0003,0.0664
79,310992000000,-0.0001,-0.0401
80,311177000000,0.9799,0.0961
81,311367000000,-0.0075,-0.2589
82,311612000000,-0.8642,-0.5871
83,311662000000,-0.6231,-0.6121
84,311767000000,0.5231,-0.8272
85,312067000000,0.1603,-0.6939
86,312437000000,0.1687,-0.6431
87,312482000000,0.17,-0.6431
88,312527000000,0.1504,-0.6
89,312757000000,0.1367,-0.5569
90,312792000000,0.1486,-0.5796
91,312827000000,0.1464,-0.5795
92,312952000000,0.1255,-0.5529
93,313172000000,0.0979,-0.4999
94,313322000000,0.0741,-0.4081
95,313727000000,0.0421,-0.4049
96,313762000000,0.0393,-0.4049
97,313872000000,0.0291,-0.3951
98,314017000000,0.0185,-0.4183
99,314052000000,0.0153,-0.4183
100,314127000000,0.0085,-0.4249
101,314207000000,0.0012,-0.3661
102,314282000000,-0.0045,-0.3892
103,314472000000,0.0816,-0.3866
104,314672000000,-0.036,-0.3605
105,315097000000,-0.0605,-0.4221
106,315277000000,-0.057,-0.321
107,315317000000,-0.0593,-0.321
108,315762000000,-0.066,-0.2999
109,316347000000,-0.072,-0.2776
110,316542000000,-0.0617,-0.2357
111,316582000000,-0.0525,-0.2103
112,316617000000,-0.0523,-0.2103
113,316887000000,-0.0416,-0.1598
114,317107000000,-0.0241,-0.0933
115,317157000000,-0.024,-0.0933
