# LinearA, AngularV, Angle
-0.000000,0.000000,0.000000
-0.000000,0.000000,0.000000
-0.000000,0.000000,0.000000
-0.000000,0.000000,0.000000
-0.000000,0.000000,0.000000
-0.000000,0.000000,0.000000
-0.000000,0.000000,0.000000
-0.000000,0.000000,0.000000
-0.000000,0.000000,0.000000
-0.000000,0.000000,0.000000
-0.000000,0.000000,0.000000
-0.000000,0.000000,0.000000
-0.049600,0.129300,0.000229
-0.008400,0.087800,0.000450
-0.004400,0.042900,0.000215
-0.020400,0.117000,0.000731
-0.002900,0.026200,0.000218
0.623700,0.035700,0.000216
0.000800,-0.007400,-0.000017
-0.006300,0.017400,0.000124
-0.002100,0.017200,0.000491
0.131000,0.004900,0.000043
0.002800,-0.044300,-0.000591
-0.942800,-0.008200,-0.000096
0.002200,-0.052200,-0.000177
0.005700,-0.052200,-0.000653
0.006500,-0.060200,-0.001338
0.006500,-0.060200,-0.001720
-0.013000,-0.002600,-0.000074
0.000300,-0.002700,-0.000077
0.003400,-0.032500,-0.000094
0.003300,-0.032200,-0.000201
0.004000,-0.041800,-0.000147
0.004000,-0.041800,-0.001045
0.003200,-0.033400,-0.000445
0.003800,-0.041400,-0.000376
0.007500,-0.090200,-0.000278
0.005800,-0.081100,-0.000162
0.004100,-0.064000,-0.000356
0.004000,-0.064000,-0.001600
0.881500,-0.088200,-0.000767
-0.013100,-0.100800,-0.000877
0.004900,-0.120200,-0.001603
0.890700,-0.096400,-0.000410
-0.580400,-0.098600,-0.002465
0.003200,-0.099800,-0.002218
0.000600,-0.027300,-0.000116
0.163400,-0.047000,-0.000229
-0.011800,-0.083600,-0.000372
-0.086800,-0.015700,-0.000349
0.000800,-0.077000,-0.001100
-0.000100,-0.071900,-0.000248
-0.978800,-0.018600,-0.000050
-0.035500,-0.210900,-0.000578
-0.004000,-0.102600,-0.000247
-0.031400,-0.501800,-0.001619
-0.073900,-0.819100,-0.005285
-0.959200,-0.814800,-0.023280
0.011900,-1.151800,-0.004901
-0.083500,-1.285000,-0.008862
-0.067600,-1.357300,-0.033932
0.852900,-1.376700,-0.001530
0.016200,-1.345100,-0.005275
0.014000,-1.279700,-0.009844
0.000900,-0.996900,-0.002932
0.000300,-0.947800,-0.012637
-0.797600,-1.218600,-0.002343
0.322900,-1.516400,-0.015164
-0.233500,-1.813600,-0.003390
-0.007200,-1.778100,-0.014225
0.012800,-1.576400,-0.005436
0.013500,-1.576400,-0.045040
0.020500,-1.510600,-0.043160
0.014400,-1.510600,-0.004443
0.631400,-1.346200,-0.007085
0.553900,-1.186800,-0.033909
-0.280400,-0.766900,-0.000825
0.383800,-0.796500,-0.022757
0.689400,-0.651800,-0.001154
-0.012000,-0.398600,-0.003466
-0.010300,-0.398600,-0.009965
0.977600,-0.345900,-0.002661
0.978100,-0.347100,-0.008678
0.228600,-0.322300,-0.009209
0.890700,-0.238300,-0.001014
