,Time,LinearV,AngularV
0,0.0,0.0,0.0
1,1972395000000,0.18,0.1
2,1972430000000,0.18,0.1
3,1972471000000,0.18,0.1
4,1972506000000,0.18,0.1
5,1972549000000,0.18,0.1
6,1972588000000,0.18,0.1
7,1972629000000,0.18,0.1
8,1972669000000,0.18,0.1
9,1972717000000,0.18,0.1
10,1972756000000,0.18,0.1
11,1972797000000,0.18,0.1
12,1972837000000,0.18,0.1
13,1972881000000,0.18,0.1
14,1972926000000,0.18,0.1
15,1972967000000,0.18,0.1
16,1973012000000,0.18,0.1
17,1973053000000,0.18,0.1
18,1973089000000,0.18,0.1
19,1973129000000,0.18,0.1
20,1973165000000,0.18,0.1
21,1973203000000,0.18,0.1
22,1973239000000,0.18,0.1
23,1973281000000,0.18,0.1
24,1973317000000,0.18,0.1
25,1973351000000,0.18,0.1
26,1973387000000,0.18,0.1
27,1973423000000,0.18,0.1
28,1973461000000,0.18,0.1
29,1973499000000,0.18,0.1
30,1973534000000,0.175,0.1
31,1973571000000,0.175,0.1
32,1973610000000,0.175,0.1
33,1973649000000,0.17,0.1
34,1973688000000,0.17,0.1
35,1973729000000,0.17,0.1
36,1973770000000,0.17,0.1
37,1973806000000,0.17,0.1
38,1973848000000,0.17,0.1
39,1973882000000,0.17,0.1
40,1973921000000,0.17,0.1
41,1973961000000,0.17,0.1
42,1974003000000,0.17,0.1
43,1974043000000,0.17,0.1
44,1974077000000,0.17,0.1
45,1974114000000,0.17,0.1
46,1974152000000,0.17,0.1
47,1974195000000,0.17,0.1
48,1974239000000,0.17,0.1
49,1974280000000,0.17,0.1
50,1974322000000,0.17,0.1
51,1974360000000,0.17,0.1
52,1974395000000,0.17,0.1
53,1974430000000,0.17,0.1
54,1974467000000,0.17,0.1
55,1974507000000,0.17,0.1
56,1974543000000,0.17,0.1
57,1974579000000,0.17,0.1
58,1974616000000,0.165,0.1
59,1974653000000,0.165,0.1
60,1974694000000,0.165,0.1
61,1974736000000,0.16,0.1
62,1974771000000,0.16,0.1
63,1974817000000,0.16,0.1
64,1974861000000,0.16,0.1
65,1974896000000,0.16,0.1
66,1974935000000,0.155,0.1
67,1974975000000,0.155,0.1
68,1975016000000,0.155,0.1
69,1975055000000,0.15,0.1
70,1975093000000,0.15,0.1
71,1975134000000,0.145,0.1
72,1975171000000,0.145,0.1
73,1975206000000,0.145,0.1
74,1975246000000,0.14,0.1
75,1975285000000,0.14,0.1
76,1975320000000,0.135,0.1
77,1975358000000,0.135,0.1
78,1975397000000,0.135,0.1
79,1975432000000,0.13,0.1
80,1975470000000,0.13,0.1
81,1975504000000,0.125,0.1
82,1975545000000,0.125,0.1
83,1975583000000,0.125,0.1
84,1975618000000,0.12,0.1
