,Time,LinearV,AngularV
0,0.0,0.0,0.0
1,2582068000000,0.02,0.0
2,2582103000000,0.02,0.0
3,2582141000000,0.02,0.0
4,2582183000000,0.02,0.0
5,2582220000000,0.02,0.0
6,2582261000000,0.02,0.0
7,2582296000000,0.02,0.0
8,2582336000000,0.02,0.0
9,2582371000000,0.02,0.0
10,2582411000000,0.02,0.0
11,2582447000000,0.025,0.0
12,2582483000000,0.03,0.0
13,2582522000000,0.035,0.0
14,2582561000000,0.045,0.0
15,2582595000000,0.05,0.0
16,2582635000000,0.055,0.0
17,2582680000000,0.06,0.0
18,2582717000000,0.07,0.0
19,2582760000000,0.075,0.0
20,2582799000000,0.08,0.0
21,2582834000000,0.085,0.0
22,2582874000000,0.095,0.0
23,2582915000000,0.1,0.0
24,2582955000000,0.105,0.0
25,2582991000000,0.11,0.0
26,2583028000000,0.12,0.0
27,2583062000000,0.125,0.0
28,2583102000000,0.13,0.0
29,2583138000000,0.135,0.0
30,2583177000000,0.14,0.0
31,2583215000000,0.145,0.0
32,2583253000000,0.145,0.0
33,2583297000000,0.145,0.0
34,2583337000000,0.15,0.0
35,2583380000000,0.15,0.0
36,2583417000000,0.155,0.0
37,2583456000000,0.155,0.0
38,2583498000000,0.155,0.0
39,2583534000000,0.16,0.0
40,2583571000000,0.16,0.0
41,2583606000000,0.16,0.0
42,2583647000000,0.165,0.0
43,2583685000000,0.165,0.0
44,2583720000000,0.17,0.0
45,2583757000000,0.17,0.0
46,2583795000000,0.17,0.0
47,2583831000000,0.175,0.0
48,2583874000000,0.175,0.0
49,2583912000000,0.18,0.0
50,2583955000000,0.18,0.0
51,2583993000000,0.18,0.0
52,2584028000000,0.185,0.0
53,2584062000000,0.185,0.0
54,2584099000000,0.185,0.0
55,2584143000000,0.19,0.0
56,2584184000000,0.19,0.0
57,2584218000000,0.195,0.0
58,2584253000000,0.195,0.0
59,2584296000000,0.195,0.0
60,2584336000000,0.2,0.0
61,2584378000000,0.2,0.0
62,2584414000000,0.205,0.0
63,2584456000000,0.205,0.0
64,2584493000000,0.205,0.0
65,2584534000000,0.21,0.0
66,2584571000000,0.21,0.0
67,2584608000000,0.21,0.0
68,2584650000000,0.215,0.0
69,2584686000000,0.215,0.0
70,2584725000000,0.22,0.0
71,2584762000000,0.22,0.0
72,2584804000000,0.22,0.0
73,2584840000000,0.22,0.0
74,2584880000000,0.22,0.0
75,2584918000000,0.22,0.0
76,2584959000000,0.22,0.0
77,2584997000000,0.22,0.0
78,2585040000000,0.22,0.0
79,2585075000000,0.22,0.0
80,2585109000000,0.22,0.0
81,2585149000000,0.22,0.0
82,2585192000000,0.22,0.0
83,2585230000000,0.22,0.0
84,2585273000000,0.22,0.0
85,2585310000000,0.22,0.0
86,2585350000000,0.22,0.0
87,2585392000000,0.22,0.0
88,2585428000000,0.22,0.0
89,2585470000000,0.22,0.0
90,2585512000000,0.22,0.0
91,2585555000000,0.22,0.0
92,2585596000000,0.22,0.0
93,2585637000000,0.22,0.0
94,2585677000000,0.22,0.0
95,2585716000000,0.22,0.0
96,2585758000000,0.22,0.0
97,2585794000000,0.22,0.0
98,2585828000000,0.22,0.0
99,2585870000000,0.22,0.0
100,2585907000000,0.22,0.0
101,2585951000000,0.22,0.0
102,2585994000000,0.22,0.0
103,2586030000000,0.22,0.0
104,2586071000000,0.22,0.0
105,2586106000000,0.22,0.0
106,2586146000000,0.22,0.0
107,2586182000000,0.22,0.0
108,2586223000000,0.22,0.0
109,2586265000000,0.22,0.0
110,2586299000000,0.22,0.0
111,2586341000000,0.22,0.0
112,2586381000000,0.22,0.0
113,2586421000000,0.22,0.0
114,2586461000000,0.22,0.0
115,2586504000000,0.22,0.0
116,2586542000000,0.22,0.0
117,2586579000000,0.22,0.0
118,2586623000000,0.22,0.0
119,2586661000000,0.22,0.0
120,2586703000000,0.22,0.0
121,2586744000000,0.22,0.0
122,2586778000000,0.22,0.0
123,2586815000000,0.22,0.0
124,2586852000000,0.22,0.0
125,2586888000000,0.22,0.0
126,2586927000000,0.22,0.0
127,2586964000000,0.22,0.0
128,2587002000000,0.22,0.0
129,2587038000000,0.22,0.0
130,2587085000000,0.22,0.0
131,2587119000000,0.22,0.0
132,2587157000000,0.22,0.0
133,2587199000000,0.22,0.0
134,2587238000000,0.22,0.0
135,2587276000000,0.22,0.0
136,2587322000000,0.22,0.0
137,2587357000000,0.22,0.0
138,2587396000000,0.22,0.0
139,2587430000000,0.22,0.0
140,2587472000000,0.22,0.0
141,2587508000000,0.22,0.0
142,2587547000000,0.22,0.0
143,2587591000000,0.22,0.0
144,2587627000000,0.22,0.0
145,2587672000000,0.22,0.0
146,2587711000000,0.22,0.0
147,2587754000000,0.22,0.0
148,2587790000000,0.22,0.0
149,2587828000000,0.22,0.0
150,2587868000000,0.22,0.0
151,2587908000000,0.22,0.0
152,2587946000000,0.22,0.0
153,2587991000000,0.22,0.0
154,2588027000000,0.22,0.0
155,2588066000000,0.22,0.0
156,2588109000000,0.22,0.0
157,2588146000000,0.22,0.0
158,2588184000000,0.22,0.0
159,2588227000000,0.22,0.0
160,2588267000000,0.22,0.0
161,2588302000000,0.22,0.0
162,2588340000000,0.22,0.0
163,2588377000000,0.22,0.0
164,2588411000000,0.22,0.0
165,2588449000000,0.22,0.0
166,2588486000000,0.22,0.0
167,2588524000000,0.22,0.0
168,2588565000000,0.22,0.0
169,2588599000000,0.22,0.0
170,2588636000000,0.22,0.0
171,2588670000000,0.22,0.0
172,2588710000000,0.22,0.0
173,2588744000000,0.22,0.0
174,2588784000000,0.22,0.0
175,2588818000000,0.22,0.0
176,2588861000000,0.22,0.0
177,2588901000000,0.22,0.0
178,2588939000000,0.22,0.0
179,2588976000000,0.22,0.0
180,2589017000000,0.22,0.0
181,2589051000000,0.22,0.0
182,2589091000000,0.22,0.0
183,2589135000000,0.22,0.0
184,2589169000000,0.22,0.0
185,2589209000000,0.22,0.0
186,2589249000000,0.22,0.0
187,2589290000000,0.22,0.0
188,2589334000000,0.22,0.0
189,2589375000000,0.22,0.0
190,2589413000000,0.22,0.0
191,2589451000000,0.22,0.0
192,2589485000000,0.22,0.0
193,2589522000000,0.22,0.0
194,2589561000000,0.22,0.0
195,2589599000000,0.22,0.0
196,2589640000000,0.22,0.0
197,2589684000000,0.22,0.0
198,2589722000000,0.22,0.0
199,2589764000000,0.22,0.0
200,2589803000000,0.22,0.0
201,2589840000000,0.22,0.0
202,2589877000000,0.22,0.0
203,2589919000000,0.22,0.0
204,2589957000000,0.22,0.0
205,2589991000000,0.22,0.0
206,2590025000000,0.22,0.0
207,2590066000000,0.22,0.0
208,2590104000000,0.22,0.0
209,2590145000000,0.22,0.0
210,2590184000000,0.22,0.0
211,2590229000000,0.22,0.0
212,2590266000000,0.22,0.05
213,2590304000000,0.22,0.05
214,2590339000000,0.22,0.1
215,2590378000000,0.22,0.1
216,2590415000000,0.22,0.1
217,2590454000000,0.22,0.1
218,2590496000000,0.22,0.1
219,2590538000000,0.22,0.1
220,2590578000000,0.22,0.1
221,2590619000000,0.22,0.05
222,2590653000000,0.22,0.05
223,2590694000000,0.22,0.0
224,2590729000000,0.22,0.0
225,2590771000000,0.22,0.0
226,2590805000000,0.22,0.0
227,2590847000000,0.22,0.0
228,2590884000000,0.22,0.0
229,2590920000000,0.22,0.0
230,2590961000000,0.22,0.0
231,2590998000000,0.22,0.0
232,2591046000000,0.22,0.0
233,2591088000000,0.22,0.0
234,2591131000000,0.22,0.0
235,2591170000000,0.22,0.0
236,2591204000000,0.22,0.0
237,2591249000000,0.22,0.0
238,2591285000000,0.22,0.0
239,2591326000000,0.22,0.0
240,2591362000000,0.22,0.0
241,2591397000000,0.22,0.0
242,2591436000000,0.22,0.0
243,2591473000000,0.22,0.0
244,2591507000000,0.22,0.0
245,2591546000000,0.22,0.0
246,2591583000000,0.22,0.0
247,2591627000000,0.22,0.0
248,2591662000000,0.22,0.0
249,2591700000000,0.22,0.0
250,2591739000000,0.22,0.0
251,2591780000000,0.22,0.0
252,2591814000000,0.22,0.0
253,2591852000000,0.22,0.0
254,2591890000000,0.22,0.0
255,2591932000000,0.22,0.0
256,2591971000000,0.22,0.0
257,2592009000000,0.22,0.0
258,2592050000000,0.22,0.0
259,2592087000000,0.22,0.0
260,2592126000000,0.22,0.0
261,2592164000000,0.22,0.0
262,2592203000000,0.22,0.0
263,2592237000000,0.22,0.0
264,2592277000000,0.22,0.0
265,2592316000000,0.22,0.0
266,2592352000000,0.22,0.0
267,2592388000000,0.22,0.0
268,2592432000000,0.22,0.0
269,2592468000000,0.22,0.0
270,2592503000000,0.22,0.0
271,2592543000000,0.22,0.0
272,2592579000000,0.22,0.0
273,2592620000000,0.22,0.0
274,2592660000000,0.22,0.0
275,2592700000000,0.22,0.0
276,2592737000000,0.215,0.0
277,2592778000000,0.215,0.0
278,2592815000000,0.215,0.0
279,2592854000000,0.21,0.0
280,2592892000000,0.21,0.0
281,2592927000000,0.21,0.0
282,2592967000000,0.205,0.0
283,2593008000000,0.205,0.0
284,2593044000000,0.2,0.0
285,2593083000000,0.2,0.0
286,2593128000000,0.2,0.0
287,2593165000000,0.2,0.0
288,2593207000000,0.195,0.0
289,2593248000000,0.195,0.0
290,2593285000000,0.19,0.0
291,2593327000000,0.19,0.0
292,2593367000000,0.19,0.0
293,2593405000000,0.185,0.0
294,2593444000000,0.185,0.0
295,2593484000000,0.185,0.0
296,2593518000000,0.18,0.0
297,2593555000000,0.18,0.0
298,2593591000000,0.175,0.0
299,2593625000000,0.175,0.0
300,2593668000000,0.175,0.0
301,2593709000000,0.17,0.0
302,2593745000000,0.17,0.0
303,2593784000000,0.165,0.0
304,2593824000000,0.165,0.0
305,2593862000000,0.16,0.0
306,2593897000000,0.16,0.0
307,2593939000000,0.155,0.0
308,2593982000000,0.155,0.0
309,2594018000000,0.15,0.0
310,2594056000000,0.15,0.0
311,2594094000000,0.145,0.0
312,2594132000000,0.145,0.0
313,2594172000000,0.145,0.0
314,2594216000000,0.14,0.0
315,2594257000000,0.135,0.0
316,2594291000000,0.135,0.0
