,Time,LinearV,AngularV
0,0.0,0.0,0.0
1,1720141000000,0.015,0.0
2,1720176000000,0.015,0.0
3,1720222000000,0.02,0.0
4,1720266000000,0.02,0.0
5,1720311000000,0.02,0.0
6,1720355000000,0.02,0.0
7,1720398000000,0.02,0.0
8,1720433000000,0.02,0.0
9,1720468000000,0.02,0.0
10,1720512000000,0.02,0.0
11,1720546000000,0.02,0.0
12,1720581000000,0.02,0.0
13,1720615000000,0.025,0.0
14,1720658000000,0.03,0.0
15,1720692000000,0.035,0.0
16,1720739000000,0.045,0.0
17,1720773000000,0.05,0.0
18,1720808000000,0.055,0.0
19,1720845000000,0.065,0.0
20,1720881000000,0.07,0.0
21,1720918000000,0.07,0.0
22,1720952000000,0.07,0.0
23,1720992000000,0.075,0.0
24,1721026000000,0.08,0.05
25,1721066000000,0.08,0.05
26,1721102000000,0.08,0.05
27,1721136000000,0.085,0.1
28,1721180000000,0.085,0.1
29,1721215000000,0.085,0.1
30,1721259000000,0.09,0.1
31,1721293000000,0.09,0.1
32,1721332000000,0.09,0.1
33,1721373000000,0.095,0.1
34,1721419000000,0.095,0.1
35,1721461000000,0.1,0.1
36,1721496000000,0.1,0.1
37,1721530000000,0.105,0.1
38,1721564000000,0.105,0.1
39,1721601000000,0.105,0.1
40,1721636000000,0.11,0.1
41,1721680000000,0.11,0.1
42,1721725000000,0.11,0.1
43,1721766000000,0.115,0.1
44,1721809000000,0.115,0.1
45,1721851000000,0.12,0.1
46,1721888000000,0.12,0.1
47,1721927000000,0.12,0.1
48,1721968000000,0.12,0.1
49,1722010000000,0.12,0.1
50,1722044000000,0.12,0.1
51,1722087000000,0.12,0.1
52,1722122000000,0.12,0.1
53,1722157000000,0.12,0.1
54,1722200000000,0.12,0.1
55,1722237000000,0.12,0.1
56,1722276000000,0.12,0.1
57,1722314000000,0.12,0.1
58,1722349000000,0.12,0.1
59,1722392000000,0.12,0.1
60,1722426000000,0.12,0.1
61,1722460000000,0.12,0.1
62,1722500000000,0.12,0.1
63,1722544000000,0.12,0.1
64,1722584000000,0.12,0.1
65,1722627000000,0.12,0.1
66,1722662000000,0.12,0.1
67,1722700000000,0.12,0.1
68,1722744000000,0.12,0.1
69,1722782000000,0.12,0.1
70,1722820000000,0.12,0.1
71,1722865000000,0.12,0.1
72,1722901000000,0.12,0.1
73,1722942000000,0.12,0.1
74,1722979000000,0.12,0.1
75,1723017000000,0.12,0.1
76,1723053000000,0.12,0.1
77,1723093000000,0.12,0.1
78,1723131000000,0.12,0.1
79,1723167000000,0.12,0.1
