,Time,LinearV,AngularV
0,0.0,0.0,0.0
1,14804605000000,0.02,0.1
2,14804640000000,0.02,0.1
3,14804684000000,0.02,0.1
4,14804726000000,0.02,0.1
5,14804764000000,0.02,0.1
6,14804798000000,0.02,0.1
7,14804834000000,0.02,0.1
8,14804870000000,0.02,0.1
9,14804907000000,0.02,0.1
10,14804941000000,0.02,0.1
11,14804976000000,0.02,0.1
12,14805020000000,0.02,0.1
13,14805055000000,0.02,0.1
14,14805100000000,0.02,0.1
15,14805142000000,0.02,0.1
16,14805182000000,0.02,0.1
17,14805223000000,0.02,0.1
18,14805265000000,0.02,0.1
19,14805307000000,0.02,0.1
20,14805342000000,0.02,0.1
21,14805388000000,0.02,0.1
22,14805430000000,0.02,0.1
23,14805465000000,0.02,0.1
24,14805499000000,0.02,0.1
25,14805544000000,0.02,0.1
26,14805581000000,0.02,0.1
27,14805621000000,0.02,0.1
28,14805655000000,0.02,0.1
29,14805695000000,0.02,0.1
30,14805737000000,0.02,0.1
31,14805774000000,0.02,0.1
32,14805809000000,0.02,0.1
33,14805847000000,0.02,0.1
34,14805887000000,0.02,0.1
35,14805931000000,0.02,0.1
36,14805970000000,0.02,0.1
37,14806013000000,0.02,0.1
38,14806055000000,0.02,0.1
39,14806096000000,0.02,0.1
40,14806140000000,0.02,0.1
41,14806176000000,0.02,0.1
42,14806212000000,0.02,0.1
43,14806251000000,0.02,0.1
44,14806298000000,0.02,0.1
45,14806340000000,0.02,0.1
46,14806375000000,0.02,0.1
47,14806418000000,0.02,0.1
48,14806453000000,0.02,0.1
49,14806490000000,0.02,0.1
50,14806525000000,0.02,0.1
51,14806567000000,0.02,0.1
52,14806601000000,0.02,0.1
53,14806635000000,0.02,0.1
54,14806678000000,0.025,0.1
55,14806719000000,0.025,0.1
56,14806757000000,0.025,0.1
57,14806793000000,0.03,0.1
58,14806830000000,0.03,0.1
59,14806868000000,0.03,0.1
60,14806906000000,0.03,0.1
61,14806944000000,0.03,0.1
62,14806984000000,0.03,0.1
63,14807029000000,0.03,0.1
64,14807064000000,0.03,0.1
65,14807106000000,0.03,0.1
66,14807145000000,0.03,0.05
67,14807189000000,0.03,0.05
68,14807223000000,0.03,0.05
69,14807263000000,0.03,0.0
70,14807302000000,0.03,0.0
71,14807347000000,0.03,0.0
72,14807388000000,0.03,0.0
73,14807429000000,0.03,0.0
74,14807469000000,0.03,0.0
75,14807511000000,0.03,0.0
76,14807551000000,0.03,0.0
77,14807585000000,0.03,0.0
78,14807629000000,0.035,0.0
79,14807668000000,0.035,0.0
80,14807709000000,0.035,0.0
81,14807753000000,0.04,0.0
82,14807797000000,0.04,0.0
83,14807835000000,0.04,0.0
84,14807870000000,0.04,0.0
85,14807909000000,0.04,0.0
86,14807950000000,0.04,0.0
87,14807997000000,0.04,0.0
88,14808036000000,0.04,0.0
