,Time,LinearV,AngularV
0,0.0,0.0,0.0
1,5563489000000,0.0,0.0
2,5563526000000,0.0,0.0
3,5563562000000,0.0,0.0
4,5563598000000,0.0,0.0
5,5563637000000,0.0,0.0
6,5563671000000,0.0,0.0
7,5563709000000,0.0,0.0
8,5563751000000,0.0,0.0
9,5563787000000,0.0,0.0
10,5563823000000,0.0,0.0
11,5563861000000,0.0,0.0
12,5563898000000,0.0,0.0
13,5563935000000,0.0,0.0
14,5563972000000,0.0,0.0
15,5564008000000,0.0,0.0
16,5564047000000,0.0,0.0
17,5564081000000,0.0,0.0
18,5564121000000,0.0,-0.05
19,5564160000000,0.0,-0.05
20,5564201000000,0.0,-0.1
21,5564240000000,0.0,-0.1
22,5564275000000,0.0,-0.1
23,5564311000000,0.0,-0.1
24,5564353000000,0.0,-0.1
25,5564389000000,0.005,-0.1
26,5564424000000,0.005,-0.1
27,5564458000000,0.005,-0.1
28,5564498000000,0.01,-0.1
29,5564539000000,0.01,-0.1
30,5564580000000,0.01,-0.1
31,5564621000000,0.01,-0.1
32,5564655000000,0.01,-0.1
33,5564690000000,0.01,-0.1
34,5564729000000,0.01,-0.1
35,5564769000000,0.01,-0.1
36,5564808000000,0.01,-0.1
37,5564844000000,0.01,-0.1
38,5564882000000,0.015,-0.1
39,5564919000000,0.02,-0.1
40,5564958000000,0.03,-0.1
41,5564992000000,0.035,-0.1
42,5565031000000,0.04,-0.1
43,5565065000000,0.045,-0.1
44,5565104000000,0.05,-0.1
45,5565138000000,0.055,-0.1
46,5565178000000,0.065,-0.1
47,5565212000000,0.065,-0.1
48,5565249000000,0.065,-0.1
49,5565289000000,0.07,-0.1
50,5565326000000,0.07,-0.1
51,5565360000000,0.07,-0.1
52,5565402000000,0.075,-0.1
53,5565438000000,0.075,-0.1
54,5565476000000,0.08,-0.1
55,5565517000000,0.08,-0.1
56,5565552000000,0.08,-0.1
57,5565587000000,0.085,-0.1
58,5565621000000,0.085,-0.1
59,5565656000000,0.085,-0.1
60,5565692000000,0.09,-0.1
61,5565733000000,0.09,-0.1
62,5565770000000,0.095,-0.1
63,5565811000000,0.095,-0.1
64,5565846000000,0.095,-0.1
65,5565887000000,0.1,-0.1
66,5565921000000,0.1,-0.1
67,5565960000000,0.105,-0.1
68,5565996000000,0.105,-0.1
69,5566032000000,0.105,-0.1
70,5566068000000,0.11,-0.1
71,5566102000000,0.11,-0.1
72,5566136000000,0.11,-0.1
73,5566174000000,0.115,-0.1
74,5566210000000,0.115,-0.1
75,5566246000000,0.115,-0.1
76,5566284000000,0.12,-0.1
77,5566327000000,0.12,-0.1
78,5566361000000,0.125,-0.1
79,5566397000000,0.125,-0.1
80,5566434000000,0.125,-0.1
81,5566469000000,0.13,-0.1
82,5566508000000,0.13,-0.1
83,5566550000000,0.13,-0.1
84,5566587000000,0.13,-0.1
85,5566628000000,0.13,-0.1
86,5566666000000,0.13,-0.1
87,5566706000000,0.13,-0.1
88,5566747000000,0.13,-0.1
89,5566787000000,0.13,-0.1
90,5566821000000,0.13,-0.1
91,5566862000000,0.13,-0.1
92,5566899000000,0.13,-0.1
93,5566934000000,0.13,-0.1
94,5566977000000,0.13,-0.1
95,5567018000000,0.13,-0.1
96,5567054000000,0.13,-0.1
97,5567097000000,0.13,-0.1
98,5567133000000,0.13,-0.1
99,5567177000000,0.13,-0.1
100,5567211000000,0.13,-0.1
101,5567246000000,0.13,-0.1
102,5567280000000,0.13,-0.1
103,5567319000000,0.13,-0.1
104,5567357000000,0.13,-0.1
105,5567393000000,0.13,-0.1
106,5567430000000,0.13,-0.1
107,5567470000000,0.13,-0.1
108,5567507000000,0.13,-0.1
109,5567550000000,0.13,-0.1
110,5567586000000,0.13,-0.1
111,5567620000000,0.13,-0.1
112,5567658000000,0.13,-0.1
113,5567696000000,0.13,-0.1
114,5567737000000,0.13,-0.1
115,5567774000000,0.13,-0.1
116,5567810000000,0.13,-0.1
117,5567846000000,0.13,-0.1
118,5567884000000,0.13,-0.1
119,5567927000000,0.13,-0.1
120,5567964000000,0.13,-0.1
121,5567999000000,0.13,-0.1
122,5568037000000,0.13,-0.1
123,5568071000000,0.13,-0.1
124,5568109000000,0.13,-0.1
125,5568146000000,0.13,-0.1
126,5568181000000,0.13,-0.1
127,5568215000000,0.13,-0.1
128,5568253000000,0.13,-0.1
129,5568293000000,0.13,-0.1
130,5568328000000,0.13,-0.1
131,5568365000000,0.13,-0.1
132,5568399000000,0.13,-0.1
133,5568434000000,0.13,-0.1
134,5568474000000,0.13,-0.1
135,5568513000000,0.13,-0.1
136,5568549000000,0.13,-0.1
137,5568587000000,0.13,-0.1
138,5568625000000,0.13,-0.1
139,5568664000000,0.13,-0.1
140,5568705000000,0.13,-0.1
141,5568745000000,0.13,-0.1
142,5568786000000,0.13,-0.1
143,5568822000000,0.13,-0.1
144,5568858000000,0.13,-0.1
145,5568897000000,0.13,-0.1
146,5568932000000,0.13,-0.1
147,5568966000000,0.13,-0.1
148,5569008000000,0.13,-0.1
149,5569047000000,0.13,-0.1
150,5569085000000,0.13,-0.1
151,5569120000000,0.13,-0.1
152,5569158000000,0.13,-0.1
153,5569198000000,0.13,-0.1
154,5569236000000,0.13,-0.1
155,5569272000000,0.135,-0.1
156,5569310000000,0.135,-0.1
157,5569348000000,0.14,-0.1
158,5569385000000,0.14,-0.1
159,5569423000000,0.14,-0.1
160,5569458000000,0.14,-0.1
161,5569494000000,0.14,-0.1
162,5569533000000,0.14,-0.1
163,5569568000000,0.14,-0.1
164,5569605000000,0.14,-0.1
165,5569646000000,0.14,-0.1
166,5569680000000,0.14,-0.1
167,5569715000000,0.14,-0.1
168,5569751000000,0.145,-0.1
169,5569793000000,0.155,-0.1
170,5569833000000,0.155,-0.1
171,5569872000000,0.155,-0.1
172,5569907000000,0.16,-0.1
173,5569943000000,0.16,-0.1
174,5569979000000,0.16,-0.1
175,5570018000000,0.165,-0.1
176,5570057000000,0.165,-0.1
177,5570095000000,0.17,-0.1
178,5570129000000,0.17,-0.1
179,5570168000000,0.17,-0.1
180,5570204000000,0.17,-0.1
181,5570244000000,0.17,-0.05
182,5570278000000,0.17,-0.05
183,5570319000000,0.17,-0.05
184,5570353000000,0.17,0.0
185,5570388000000,0.17,0.0
186,5570429000000,0.17,0.0
187,5570463000000,0.17,0.0
188,5570501000000,0.17,0.0
189,5570540000000,0.17,0.0
190,5570580000000,0.17,0.0
191,5570618000000,0.17,0.0
192,5570657000000,0.17,0.0
193,5570694000000,0.17,0.0
194,5570728000000,0.17,0.0
195,5570766000000,0.175,0.0
196,5570806000000,0.175,0.0
197,5570840000000,0.175,0.0
198,5570877000000,0.18,0.0
199,5570917000000,0.18,0.0
200,5570954000000,0.18,0.0
201,5570992000000,0.18,-0.05
202,5571027000000,0.18,-0.05
203,5571061000000,0.18,-0.05
204,5571096000000,0.18,-0.1
205,5571134000000,0.18,-0.1
206,5571170000000,0.18,-0.1
207,5571207000000,0.18,-0.1
208,5571242000000,0.18,-0.1
209,5571277000000,0.18,-0.1
210,5571316000000,0.18,-0.1
211,5571353000000,0.18,-0.1
212,5571391000000,0.18,-0.1
213,5571432000000,0.18,-0.1
214,5571470000000,0.18,-0.1
215,5571507000000,0.18,-0.1
216,5571547000000,0.18,-0.1
217,5571586000000,0.18,-0.1
218,5571624000000,0.18,-0.1
219,5571665000000,0.18,-0.1
220,5571700000000,0.18,-0.1
221,5571738000000,0.18,-0.1
222,5571774000000,0.18,-0.15
223,5571815000000,0.18,-0.15
224,5571849000000,0.18,-0.15
225,5571884000000,0.18,-0.2
226,5571922000000,0.18,-0.2
227,5571961000000,0.18,-0.2
228,5572000000000,0.18,-0.2
229,5572037000000,0.18,-0.2
230,5572078000000,0.18,-0.2
231,5572113000000,0.18,-0.2
232,5572150000000,0.18,-0.2
233,5572189000000,0.18,-0.2
234,5572224000000,0.18,-0.2
235,5572261000000,0.18,-0.2
236,5572302000000,0.18,-0.2
237,5572338000000,0.18,-0.2
238,5572376000000,0.18,-0.2
239,5572414000000,0.18,-0.2
240,5572450000000,0.18,-0.2
241,5572491000000,0.18,-0.2
242,5572530000000,0.18,-0.2
243,5572567000000,0.18,-0.2
244,5572603000000,0.18,-0.2
245,5572638000000,0.18,-0.2
246,5572681000000,0.18,-0.2
247,5572715000000,0.18,-0.2
248,5572750000000,0.18,-0.2
249,5572789000000,0.18,-0.2
250,5572828000000,0.18,-0.2
251,5572862000000,0.18,-0.2
252,5572898000000,0.18,-0.2
253,5572934000000,0.18,-0.2
254,5572975000000,0.18,-0.2
255,5573011000000,0.18,-0.2
256,5573049000000,0.18,-0.2
257,5573091000000,0.0,0.0
258,5573129000000,0.0,0.0
259,5573171000000,0.0,0.0
260,5573205000000,0.0,0.0
261,5573244000000,0.0,0.0
262,5573280000000,0.0,0.0
263,5573322000000,0.0,0.0
