,Time,LinearV,AngularV
0,0,0,0
1,1957638000000,0.02,0
2,1978367000000,0.15,0
3,1978950000000,0.15,0.1
4,1992996000000,0.17,-0.1
5,1995715000000,0.18,-0.1
6,2004210000000,0.04,0.2
7,2008225000000,0.195,0
8,2012739000000,0.22,0.1
9,2036422000000,0.09,0
10,2037124000000,0.09,0
11,2037324000000,0.09,0
12,2045779000000,0.09,0.2
13,2047584000000,0.09,0.2
14,2047785000000,0.09,0.2
15,2050059000000,0.1,0
16,2053396000000,0.12,0
17,2057209000000,0.12,-0.2
18,2060744000000,0.12,0.1
19,2066036000000,0.12,0.2
20,2066738000000,0.12,0.2
21,2067741000000,0.12,0.2
22,2076971000000,0.14,0.1
23,2078793000000,0,0
24,2079999000000,0.065,0
25,2082555000000,0.14,0
26,2087192000000,0.02,0
27,2089907000000,0.06,0
28,2091012000000,0.07,0
29,2096007000000,0.12,-0.1
30,2099667000000,0.12,-0.3
31,2103376000000,0.12,-0.3
32,2117117000000,0.14,0.1
33,2117819000000,0.14,0.1
34,2118256000000,0.14,0
35,2120861000000,0.14,0
36,2121162000000,0.14,0
37,2126576000000,0.14,-0.1
38,2138991000000,0.14,0
39,2140494000000,0.14,0
40,2148611000000,0.14,0
41,2154121000000,0.14,0
42,2156226000000,0.14,0
43,2156526000000,0.14,0
44,2156727000000,0.14,0
45,2158530000000,0.14,0
46,2162837000000,0.14,0
47,2163940000000,0.14,0
48,2170700000000,0.14,0
49,2180146000000,0.14,0
50,2185850000000,0.14,-0.2
51,2187606000000,0.14,0
52,2188508000000,0.14,0
53,2199952000000,0.14,-0.1
54,2225620000000,0.15,0
55,2231179000000,0.16,0
56,2233687000000,0.16,0
57,2239496000000,0.16,0
58,2240098000000,0.16,0
59,2241200000000,0.16,0
60,2247840000000,0.17,0
61,2247940000000,0.17,0
62,2250856000000,0.17,0.05
63,2263807000000,0.17,0
64,2264910000000,0.17,0
65,2269345000000,0.17,0.2
66,2280183000000,0.17,0
67,2288024000000,0.17,0.05
68,2291415000000,0.17,0
69,2292116000000,0.17,0
70,2297728000000,0.17,0
71,2311045000000,0.18,0
72,2313552000000,0.18,0
73,2315488000000,0.18,-0.3
74,2325257000000,0.18,0
75,2339363000000,0.18,0
76,2340465000000,0.18,0
77,2342968000000,0.18,0
78,2344266000000,0.18,0
79,2345269000000,0.18,0
80,2347652000000,0.18,-0.1
81,2350660000000,0.18,-0.1
82,2356098000000,0.18,-0.2
83,2358838000000,0.18,-0.1
84,2362341000000,0.18,-0.1
85,2364502000000,0.18,0.05
86,2368961000000,0,0
87,2370565000000,0,0
